,Attribute,Value
0,Beta (5Y Monthly),0.84
1,52-Week Change 3,12.58%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,172.18
4,52 Week Low 3,112.60
5,50-Day Moving Average 3,150.09
6,200-Day Moving Average 3,144.65
7,Avg Vol (3 month) 3,1.8M
8,Avg Vol (10 day) 3,1.02M
9,Shares Outstanding 5,162.12M
10,Float,161.72M
11,% Held by Insiders 1,0.33%
12,% Held by Institutions 1,103.44%
13,"Shares Short (Jun 14, 2020) 4",2.18M
14,"Short Ratio (Jun 14, 2020) 4",1.32
15,"Short % of Float (Jun 14, 2020) 4",1.34%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.34%
17,"Shares Short (prior month May 14, 2020) 4",2.52M
18,Forward Annual Dividend Rate 4,1.64
19,Forward Annual Dividend Yield 4,1.08%
20,Trailing Annual Dividend Rate 3,1.62
21,Trailing Annual Dividend Yield 3,1.07%
22,5 Year Average Dividend Yield 4,0.88
23,Payout Ratio 4,32.46%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 04, 1998"
28,Fiscal Year Ends,"Mar 30, 2020"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,0.39%
31,Operating Margin (ttm),1.23%
32,Return on Assets (ttm),2.94%
33,Return on Equity (ttm),13.74%
34,Revenue (ttm),231.05B
35,Revenue Per Share (ttm),1276.53
36,Quarterly Revenue Growth (yoy),11.60%
37,Gross Profit (ttm),12.02B
38,EBITDA,3.76B
39,Net Income Avi to Common (ttm),906M
40,Diluted EPS (ttm),4.96
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),4.02B
43,Total Cash Per Share (mrq),24.81
44,Total Debt (mrq),9.42B
45,Total Debt/Equity (mrq),140.37
46,Current Ratio (mrq),0.99
47,Book Value Per Share (mrq),31.43
48,Operating Cash Flow (ttm),4.37B
49,Levered Free Cash Flow (ttm),3.35B
