,Attribute,Value
0,Beta (5Y Monthly),1.35
1,52-Week Change 3,-26.84%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,53.28
4,52 Week Low 3,22.85
5,50-Day Moving Average 3,36.16
6,200-Day Moving Average 3,40.90
7,Avg Vol (3 month) 3,7.05M
8,Avg Vol (10 day) 3,6.88M
9,Shares Outstanding 5,907.59M
10,Float,767.64M
11,% Held by Insiders 1,15.54%
12,% Held by Institutions 1,77.43%
13,"Shares Short (Jun 14, 2020) 4",16.76M
14,"Short Ratio (Jun 14, 2020) 4",2.44
15,"Short % of Float (Jun 14, 2020) 4",2.18%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.85%
17,"Shares Short (prior month May 14, 2020) 4",18.14M
18,Forward Annual Dividend Rate 4,1.84
19,Forward Annual Dividend Yield 4,5.06%
20,Trailing Annual Dividend Rate 3,1.76
21,Trailing Annual Dividend Yield 3,4.84%
22,5 Year Average Dividend Yield 4,3.46
23,Payout Ratio 4,18.70%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,1122:1000
27,Last Split Date 3,"Aug 06, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.45%
31,Operating Margin (ttm),16.39%
32,Return on Assets (ttm),1.01%
33,Return on Equity (ttm),13.82%
34,Revenue (ttm),71.63B
35,Revenue Per Share (ttm),77.27
36,Quarterly Revenue Growth (yoy),12.30%
37,Gross Profit (ttm),20.48B
38,EBITDA,12.11B
39,Net Income Avi to Common (ttm),8.74B
40,Diluted EPS (ttm),9.37
41,Quarterly Earnings Growth (yoy),218.50%
42,Total Cash (mrq),41.66B
43,Total Cash Per Share (mrq),45.9
44,Total Debt (mrq),110.62B
45,Total Debt/Equity (mrq),157.00
46,Current Ratio (mrq),1.08
47,Book Value Per Share (mrq),77.37
48,Operating Cash Flow (ttm),13.56B
49,Levered Free Cash Flow (ttm),1.97B
