,Attribute,Value
0,Beta (5Y Monthly),0.75
1,52-Week Change 3,-9.70%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,230.99
4,52 Week Low 3,142.01
5,50-Day Moving Average 3,188.16
6,200-Day Moving Average 3,197.23
7,Avg Vol (3 month) 3,1.62M
8,Avg Vol (10 day) 3,2.1M
9,Shares Outstanding 5,215.87M
10,Float,214.64M
11,% Held by Insiders 1,0.48%
12,% Held by Institutions 1,86.57%
13,"Shares Short (Jun 14, 2020) 4",2.68M
14,"Short Ratio (Jun 14, 2020) 4",1.62
15,"Short % of Float (Jun 14, 2020) 4",1.25%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.24%
17,"Shares Short (prior month May 14, 2020) 4",3.22M
18,Forward Annual Dividend Rate 4,3.4
19,Forward Annual Dividend Yield 4,1.99%
20,Trailing Annual Dividend Rate 3,3.00
21,Trailing Annual Dividend Yield 3,1.76%
22,5 Year Average Dividend Yield 4,1.81
23,Payout Ratio 4,36.33%
24,Dividend Date 3,"Jun 15, 2020"
25,Ex-Dividend Date 4,"May 31, 2020"
26,Last Split Factor 2,10000:9448
27,Last Split Date 3,"May 10, 2009"
28,Fiscal Year Ends,"Jan 02, 2020"
29,Most Recent Quarter (mrq),"Sep 26, 2019"
30,Profit Margin,7.55%
31,Operating Margin (ttm),13.85%
32,Return on Assets (ttm),
33,Return on Equity (ttm),
34,Revenue (ttm),21.42B
35,Revenue Per Share (ttm),87.07
36,Quarterly Revenue Growth (yoy),187.40%
37,Gross Profit (ttm),5.36B
38,EBITDA,4.02B
39,Net Income Avi to Common (ttm),1.62B
40,Diluted EPS (ttm),7.35
41,Quarterly Earnings Growth (yoy),101.40%
42,Total Cash (mrq),1B
43,Total Cash Per Share (mrq),4.64
44,Total Debt (mrq),
45,Total Debt/Equity (mrq),34.01
46,Current Ratio (mrq),1.41
47,Book Value Per Share (mrq),103.41
48,Operating Cash Flow (ttm),2.01B
49,Levered Free Cash Flow (ttm),
