,Attribute,Value
0,Beta (5Y Monthly),1.16
1,52-Week Change 3,-42.16%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,54.75
4,52 Week Low 3,22.00
5,50-Day Moving Average 3,26.94
6,200-Day Moving Average 3,37.27
7,Avg Vol (3 month) 3,49.02M
8,Avg Vol (10 day) 3,47.44M
9,Shares Outstanding 5,4.1B
10,Float,4.09B
11,% Held by Insiders 1,0.13%
12,% Held by Institutions 1,77.48%
13,"Shares Short (Jun 14, 2020) 4",45.16M
14,"Short Ratio (Jun 14, 2020) 4",0.82
15,"Short % of Float (Jun 14, 2020) 4",1.10%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.10%
17,"Shares Short (prior month May 14, 2020) 4",50.52M
18,Forward Annual Dividend Rate 4,2.04
19,Forward Annual Dividend Yield 4,7.45%
20,Trailing Annual Dividend Rate 3,1.98
21,Trailing Annual Dividend Yield 3,7.23%
22,5 Year Average Dividend Yield 4,3.29
23,Payout Ratio 4,69.23%
24,Dividend Date 3,"May 31, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 13, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,19.02%
31,Operating Margin (ttm),25.02%
32,Return on Assets (ttm),0.75%
33,Return on Equity (ttm),7.63%
34,Revenue (ttm),75.41B
35,Revenue Per Share (ttm),17.61
36,Quarterly Revenue Growth (yoy),-34.00%
37,Gross Profit (ttm),82.46B
38,EBITDA,
39,Net Income Avi to Common (ttm),12.47B
40,Diluted EPS (ttm),2.89
41,Quarterly Earnings Growth (yoy),-88.90%
42,Total Cash (mrq),356.29B
43,Total Cash Per Share (mrq),86.9
44,Total Debt (mrq),350.47B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),39.67
48,Operating Cash Flow (ttm),16.05B
49,Levered Free Cash Flow (ttm),
