,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,-26.63%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,60.87
4,52 Week Low 3,31.58
5,50-Day Moving Average 3,43.87
6,200-Day Moving Average 3,47.86
7,Avg Vol (3 month) 3,2.46M
8,Avg Vol (10 day) 3,1.9M
9,Shares Outstanding 5,219.08M
10,Float,218.22M
11,% Held by Insiders 1,0.36%
12,% Held by Institutions 1,95.95%
13,"Shares Short (Jun 14, 2020) 4",5.01M
14,"Short Ratio (Jun 14, 2020) 4",2.15
15,"Short % of Float (Jun 14, 2020) 4",2.60%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.29%
17,"Shares Short (prior month May 14, 2020) 4",6.03M
18,Forward Annual Dividend Rate 4,0.4
19,Forward Annual Dividend Yield 4,0.93%
20,Trailing Annual Dividend Rate 3,0.39
21,Trailing Annual Dividend Yield 3,0.91%
22,5 Year Average Dividend Yield 4,0.63
23,Payout Ratio 4,104.73%
24,Dividend Date 3,"Jul 09, 2020"
25,Ex-Dividend Date 4,"Jun 24, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 17, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.12%
31,Operating Margin (ttm),13.45%
32,Return on Assets (ttm),3.99%
33,Return on Equity (ttm),1.71%
34,Revenue (ttm),3.96B
35,Revenue Per Share (ttm),17.79
36,Quarterly Revenue Growth (yoy),-7.60%
37,Gross Profit (ttm),2.19B
38,EBITDA,851.4M
39,Net Income Avi to Common (ttm),83.8M
40,Diluted EPS (ttm),0.38
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),235.9M
43,Total Cash Per Share (mrq),1.08
44,Total Debt (mrq),1.59B
45,Total Debt/Equity (mrq),33.92
46,Current Ratio (mrq),2.03
47,Book Value Per Share (mrq),21.39
48,Operating Cash Flow (ttm),592.8M
49,Levered Free Cash Flow (ttm),640.48M
