,Attribute,Value
0,Beta (5Y Monthly),0.86
1,52-Week Change 3,-25.48%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,2398.85
4,52 Week Low 3,43.44
5,50-Day Moving Average 3,63.11
6,200-Day Moving Average 3,107.81
7,Avg Vol (3 month) 3,13.97M
8,Avg Vol (10 day) 3,10.44M
9,Shares Outstanding 5,1.52B
10,Float,805.84M
11,% Held by Insiders 1,0.11%
12,% Held by Institutions 1,46.73%
13,"Shares Short (Jun 14, 2020) 4",16.25M
14,"Short Ratio (Jun 14, 2020) 4",1.24
15,"Short % of Float (Jun 14, 2020) 4",1.14%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.07%
17,"Shares Short (prior month May 14, 2020) 4",15.8M
18,Forward Annual Dividend Rate 4,1.9
19,Forward Annual Dividend Yield 4,3.11%
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,2.40
23,Payout Ratio 4,61.89%
24,Dividend Date 3,"Sep 09, 2020"
25,Ex-Dividend Date 4,"Aug 12, 2020"
26,Last Split Factor 2,15890:10000
27,Last Split Date 3,"Apr 02, 2020"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,5.34%
31,Operating Margin (ttm),13.17%
32,Return on Assets (ttm),4.57%
33,Return on Equity (ttm),10.79%
34,Revenue (ttm),76.89B
35,Revenue Per Share (ttm),89.82
36,Quarterly Revenue Growth (yoy),-0.80%
37,Gross Profit (ttm),20.21B
38,EBITDA,13.95B
39,Net Income Avi to Common (ttm),4.11B
40,Diluted EPS (ttm),
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),8B
43,Total Cash Per Share (mrq),9.32
44,Total Debt (mrq),48.45B
45,Total Debt/Equity (mrq),115.26
46,Current Ratio (mrq),1.23
47,Book Value Per Share (mrq),
48,Operating Cash Flow (ttm),8.04B
49,Levered Free Cash Flow (ttm),6.87B
