,Attribute,Value
0,Beta (5Y Monthly),1.15
1,52-Week Change 3,16.12%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,125.84
4,52 Week Low 3,68.00
5,50-Day Moving Average 3,100.68
6,200-Day Moving Average 3,99.28
7,Avg Vol (3 month) 3,1.11M
8,Avg Vol (10 day) 3,1.2M
9,Shares Outstanding 5,142.04M
10,Float,141.2M
11,% Held by Insiders 1,0.65%
12,% Held by Institutions 1,78.63%
13,"Shares Short (Jun 14, 2020) 4",2.7M
14,"Short Ratio (Jun 14, 2020) 4",3.04
15,"Short % of Float (Jun 14, 2020) 4",2.28%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.90%
17,"Shares Short (prior month May 14, 2020) 4",2.81M
18,Forward Annual Dividend Rate 4,1.36
19,Forward Annual Dividend Yield 4,1.47%
20,Trailing Annual Dividend Rate 3,1.34
21,Trailing Annual Dividend Yield 3,1.45%
22,5 Year Average Dividend Yield 4,2.18
23,Payout Ratio 4,32.60%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,405:1000
27,Last Split Date 3,"Sep 29, 2013"
28,Fiscal Year Ends,"Jan 02, 2020"
29,Most Recent Quarter (mrq),"Apr 02, 2020"
30,Profit Margin,5.20%
31,Operating Margin (ttm),7.95%
32,Return on Assets (ttm),5.57%
33,Return on Equity (ttm),17.91%
34,Revenue (ttm),11.41B
35,Revenue Per Share (ttm),80.18
36,Quarterly Revenue Growth (yoy),12.10%
37,Gross Profit (ttm),1.55B
38,EBITDA,1.14B
39,Net Income Avi to Common (ttm),593M
40,Diluted EPS (ttm),4.11
41,Quarterly Earnings Growth (yoy),-39.20%
42,Total Cash (mrq),449M
43,Total Cash Per Share (mrq),3.16
44,Total Debt (mrq),4.86B
45,Total Debt/Equity (mrq),144.74
46,Current Ratio (mrq),0.67
47,Book Value Per Share (mrq),23.63
48,Operating Cash Flow (ttm),1.08B
49,Levered Free Cash Flow (ttm),922.75M
