,Attribute,Value
0,Beta (5Y Monthly),1.27
1,52-Week Change 3,-32.20%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,65.38
4,52 Week Low 3,34.66
5,50-Day Moving Average 3,44.07
6,200-Day Moving Average 3,49.10
7,Avg Vol (3 month) 3,2.33M
8,Avg Vol (10 day) 3,3.01M
9,Shares Outstanding 5,221.18M
10,Float,220.88M
11,% Held by Insiders 1,0.31%
12,% Held by Institutions 1,98.98%
13,"Shares Short (Jun 14, 2020) 4",13.28M
14,"Short Ratio (Jun 14, 2020) 4",5.46
15,"Short % of Float (Jun 14, 2020) 4",9.24%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.99%
17,"Shares Short (prior month May 14, 2020) 4",10.99M
18,Forward Annual Dividend Rate 4,1.92
19,Forward Annual Dividend Yield 4,4.59%
20,Trailing Annual Dividend Rate 3,1.92
21,Trailing Annual Dividend Yield 3,4.59%
22,5 Year Average Dividend Yield 4,2.27
23,Payout Ratio 4,54.55%
24,Dividend Date 3,"Jul 28, 2020"
25,Ex-Dividend Date 4,"Jul 08, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 22, 2000"
28,Fiscal Year Ends,"Apr 23, 2020"
29,Most Recent Quarter (mrq),"Apr 23, 2020"
30,Profit Margin,15.13%
31,Operating Margin (ttm),17.20%
32,Return on Assets (ttm),7.16%
33,Return on Equity (ttm),122.97%
34,Revenue (ttm),5.41B
35,Revenue Per Share (ttm),23.53
36,Quarterly Revenue Growth (yoy),-12.00%
37,Gross Profit (ttm),3.62B
38,EBITDA,1.08B
39,Net Income Avi to Common (ttm),819M
40,Diluted EPS (ttm),3.52
41,Quarterly Earnings Growth (yoy),-50.50%
42,Total Cash (mrq),2.89B
43,Total Cash Per Share (mrq),13.02
44,Total Debt (mrq),1.81B
45,Total Debt/Equity (mrq),748.76
46,Current Ratio (mrq),1.18
47,Book Value Per Share (mrq),1.11
48,Operating Cash Flow (ttm),1.06B
49,Levered Free Cash Flow (ttm),913.5M
