,Attribute,Value
0,Beta (5Y Monthly),1.25
1,52-Week Change 3,-24.15%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,115.48
4,52 Week Low 3,44.30
5,50-Day Moving Average 3,78.48
6,200-Day Moving Average 3,85.92
7,Avg Vol (3 month) 3,4.01M
8,Avg Vol (10 day) 3,2.67M
9,Shares Outstanding 5,277.26M
10,Float,272.58M
11,% Held by Insiders 1,1.62%
12,% Held by Institutions 1,101.72%
13,"Shares Short (Jun 14, 2020) 4",9.33M
14,"Short Ratio (Jun 14, 2020) 4",2.32
15,"Short % of Float (Jun 14, 2020) 4",3.43%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.36%
17,"Shares Short (prior month May 14, 2020) 4",11.1M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.60
21,Trailing Annual Dividend Yield 3,0.81%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,23.44%
24,Dividend Date 3,"Mar 30, 2020"
25,Ex-Dividend Date 4,"Feb 26, 2020"
26,Last Split Factor 2,1000:2052
27,Last Split Date 3,"Jan 03, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,20.78%
31,Operating Margin (ttm),40.19%
32,Return on Assets (ttm),5.85%
33,Return on Equity (ttm),
34,Revenue (ttm),3.57B
35,Revenue Per Share (ttm),12.60
36,Quarterly Revenue Growth (yoy),-23.40%
37,Gross Profit (ttm),2.51B
38,EBITDA,1.79B
39,Net Income Avi to Common (ttm),741M
40,Diluted EPS (ttm),2.58
41,Quarterly Earnings Growth (yoy),-88.60%
42,Total Cash (mrq),1.73B
43,Total Cash Per Share (mrq),6.25
44,Total Debt (mrq),10.7B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.42
47,Book Value Per Share (mrq),-3.30
48,Operating Cash Flow (ttm),1.15B
49,Levered Free Cash Flow (ttm),438.38M
