,Attribute,Value
0,Beta (5Y Monthly),1.17
1,52-Week Change 3,15.07%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,190.85
4,52 Week Low 3,115.94
5,50-Day Moving Average 3,172.98
6,200-Day Moving Average 3,167.41
7,Avg Vol (3 month) 3,1.41M
8,Avg Vol (10 day) 3,1.01M
9,Shares Outstanding 5,315.93M
10,Float,288.86M
11,% Held by Insiders 1,0.21%
12,% Held by Institutions 1,82.28%
13,"Shares Short (Jun 14, 2020) 4",9.13M
14,"Short Ratio (Jun 14, 2020) 4",7.19
15,"Short % of Float (Jun 14, 2020) 4",3.09%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.89%
17,"Shares Short (prior month May 14, 2020) 4",9.15M
18,Forward Annual Dividend Rate 4,4.28
19,Forward Annual Dividend Yield 4,2.47%
20,Trailing Annual Dividend Rate 3,4.21
21,Trailing Annual Dividend Yield 3,2.43%
22,5 Year Average Dividend Yield 4,2.19
23,Payout Ratio 4,54.68%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 25, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,18.06%
31,Operating Margin (ttm),24.27%
32,Return on Assets (ttm),14.19%
33,Return on Equity (ttm),90.81%
34,Revenue (ttm),13.78B
35,Revenue Per Share (ttm),42.86
36,Quarterly Revenue Growth (yoy),-9.10%
37,Gross Profit (ttm),5.92B
38,EBITDA,3.76B
39,Net Income Avi to Common (ttm),2.49B
40,Diluted EPS (ttm),7.70
41,Quarterly Earnings Growth (yoy),-5.20%
42,Total Cash (mrq),1.43B
43,Total Cash Per Share (mrq),4.53
44,Total Debt (mrq),7.69B
45,Total Debt/Equity (mrq),336.86
46,Current Ratio (mrq),2.71
47,Book Value Per Share (mrq),7.23
48,Operating Cash Flow (ttm),2.99B
49,Levered Free Cash Flow (ttm),2.24B
