,Attribute,Value
0,Beta (5Y Monthly),0.85
1,52-Week Change 3,8.77%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,125.31
4,52 Week Low 3,82.00
5,50-Day Moving Average 3,107.24
6,200-Day Moving Average 3,102.84
7,Avg Vol (3 month) 3,4.46M
8,Avg Vol (10 day) 3,2.8M
9,Shares Outstanding 5,704.12M
10,Float,703.76M
11,% Held by Insiders 1,0.01%
12,% Held by Institutions 1,71.23%
13,"Shares Short (Jun 14, 2020) 4",18.64M
14,"Short Ratio (Jun 14, 2020) 4",4.32
15,"Short % of Float (Jun 14, 2020) 4",2.65%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.16%
17,"Shares Short (prior month May 14, 2020) 4",17.01M
18,Forward Annual Dividend Rate 4,4.04
19,Forward Annual Dividend Yield 4,3.53%
20,Trailing Annual Dividend Rate 3,3.89
21,Trailing Annual Dividend Yield 3,3.40%
22,5 Year Average Dividend Yield 4,3.13
23,Payout Ratio 4,78.74%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 21, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,5.73%
31,Operating Margin (ttm),7.03%
32,Return on Assets (ttm),5.83%
33,Return on Equity (ttm),126.33%
34,Revenue (ttm),74.97B
35,Revenue Per Share (ttm),86.82
36,Quarterly Revenue Growth (yoy),5.10%
37,Gross Profit (ttm),13.64B
38,EBITDA,7.71B
39,Net Income Avi to Common (ttm),4.29B
40,Diluted EPS (ttm),4.94
41,Quarterly Earnings Growth (yoy),-13.10%
42,Total Cash (mrq),9.5B
43,Total Cash Per Share (mrq),11.02
44,Total Debt (mrq),31.64B
45,Total Debt/Equity (mrq),955.12
46,Current Ratio (mrq),1.22
47,Book Value Per Share (mrq),3.83
48,Operating Cash Flow (ttm),8.91B
49,Levered Free Cash Flow (ttm),1.25B
