,Attribute,Value
0,Beta (5Y Monthly),0.82
1,52-Week Change 3,-10.81%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,182.32
4,52 Week Low 3,103.11
5,50-Day Moving Average 3,149.01
6,200-Day Moving Average 3,152.45
7,Avg Vol (3 month) 3,2.2M
8,Avg Vol (10 day) 3,1.26M
9,Shares Outstanding 5,429.77M
10,Float,428.91M
11,% Held by Insiders 1,0.14%
12,% Held by Institutions 1,82.28%
13,"Shares Short (Jun 14, 2020) 4",4.25M
14,"Short Ratio (Jun 14, 2020) 4",1.51
15,"Short % of Float (Jun 14, 2020) 4",0.99%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.99%
17,"Shares Short (prior month May 14, 2020) 4",4.54M
18,Forward Annual Dividend Rate 4,3.64
19,Forward Annual Dividend Yield 4,2.50%
20,Trailing Annual Dividend Rate 3,3.40
21,Trailing Annual Dividend Yield 3,2.33%
22,5 Year Average Dividend Yield 4,2.10
23,Payout Ratio 4,58.32%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,1139:1000
27,Last Split Date 3,"Sep 30, 2014"
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,17.15%
31,Operating Margin (ttm),21.85%
32,Return on Assets (ttm),4.40%
33,Return on Equity (ttm),47.13%
34,Revenue (ttm),14.76B
35,Revenue Per Share (ttm),34.17
36,Quarterly Revenue Growth (yoy),5.70%
37,Gross Profit (ttm),6.39B
38,EBITDA,3.69B
39,Net Income Avi to Common (ttm),2.53B
40,Diluted EPS (ttm),5.83
41,Quarterly Earnings Growth (yoy),8.90%
42,Total Cash (mrq),1.71B
43,Total Cash Per Share (mrq),3.97
44,Total Debt (mrq),2.46B
45,Total Debt/Equity (mrq),44.88
46,Current Ratio (mrq),1.03
47,Book Value Per Share (mrq),12.77
48,Operating Cash Flow (ttm),2.98B
49,Levered Free Cash Flow (ttm),2.44B
