,Attribute,Value
0,Beta (5Y Monthly),1.67
1,52-Week Change 3,-37.05%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,38.18
4,52 Week Low 3,12.15
5,50-Day Moving Average 3,22.93
6,200-Day Moving Average 3,24.51
7,Avg Vol (3 month) 3,8.93M
8,Avg Vol (10 day) 3,5.37M
9,Shares Outstanding 5,583.71M
10,Float,540.19M
11,% Held by Insiders 1,0.37%
12,% Held by Institutions 1,106.54%
13,"Shares Short (Jun 14, 2020) 4",14.1M
14,"Short Ratio (Jun 14, 2020) 4",1.6
15,"Short % of Float (Jun 14, 2020) 4",2.42%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.42%
17,"Shares Short (prior month May 14, 2020) 4",15.22M
18,Forward Annual Dividend Rate 4,0.88
19,Forward Annual Dividend Yield 4,4.12%
20,Trailing Annual Dividend Rate 3,0.87
21,Trailing Annual Dividend Yield 3,4.08%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,19.55%
24,Dividend Date 3,"May 13, 2020"
25,Ex-Dividend Date 4,"Apr 30, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,36.53%
31,Operating Margin (ttm),51.19%
32,Return on Assets (ttm),2.88%
33,Return on Equity (ttm),21.93%
34,Revenue (ttm),8.01B
35,Revenue Per Share (ttm),12.42
36,Quarterly Revenue Growth (yoy),-44.80%
37,Gross Profit (ttm),9.13B
38,EBITDA,
39,Net Income Avi to Common (ttm),2.92B
40,Diluted EPS (ttm),4.49
41,Quarterly Earnings Growth (yoy),-74.20%
42,Total Cash (mrq),13.7B
43,Total Cash Per Share (mrq),23.48
44,Total Debt (mrq),17.25B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),19.26
48,Operating Cash Flow (ttm),8.24B
49,Levered Free Cash Flow (ttm),
