,Attribute,Value
0,Beta (5Y Monthly),1.60
1,52-Week Change 3,-55.76%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,39.47
4,52 Week Low 3,14.22
5,50-Day Moving Average 3,16.58
6,200-Day Moving Average 3,24.36
7,Avg Vol (3 month) 3,3.88M
8,Avg Vol (10 day) 3,4.64M
9,Shares Outstanding 5,212.94M
10,Float,179.97M
11,% Held by Insiders 1,4.39%
12,% Held by Institutions 1,89.19%
13,"Shares Short (Jun 14, 2020) 4",6.24M
14,"Short Ratio (Jun 14, 2020) 4",1.32
15,"Short % of Float (Jun 14, 2020) 4",3.95%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.93%
17,"Shares Short (prior month May 14, 2020) 4",6.66M
18,Forward Annual Dividend Rate 4,1
19,Forward Annual Dividend Yield 4,6.84%
20,Trailing Annual Dividend Rate 3,1.00
21,Trailing Annual Dividend Yield 3,6.84%
22,5 Year Average Dividend Yield 4,3.35
23,Payout Ratio 4,41.49%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,1:4
27,Last Split Date 3,"Jun 14, 2017"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,13.93%
31,Operating Margin (ttm),11.35%
32,Return on Assets (ttm),4.20%
33,Return on Equity (ttm),10.36%
34,Revenue (ttm),8.75B
35,Revenue Per Share (ttm),40.12
36,Quarterly Revenue Growth (yoy),-14.70%
37,Gross Profit (ttm),3.65B
38,EBITDA,1.35B
39,Net Income Avi to Common (ttm),548M
40,Diluted EPS (ttm),5.34
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.62B
43,Total Cash Per Share (mrq),12.31
44,Total Debt (mrq),4.64B
45,Total Debt/Equity (mrq),82.58
46,Current Ratio (mrq),1.77
47,Book Value Per Share (mrq),25.34
48,Operating Cash Flow (ttm),1.28B
49,Levered Free Cash Flow (ttm),1.13B
