,Attribute,Value
0,Beta (5Y Monthly),2.27
1,52-Week Change 3,-27.78%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,74.11
4,52 Week Low 3,26.06
5,50-Day Moving Average 3,50.69
6,200-Day Moving Average 3,50.32
7,Avg Vol (3 month) 3,2.79M
8,Avg Vol (10 day) 3,2.57M
9,Shares Outstanding 5,307.14M
10,Float,277.83M
11,% Held by Insiders 1,11.14%
12,% Held by Institutions 1,92.37%
13,"Shares Short (Jun 14, 2020) 4",12.36M
14,"Short Ratio (Jun 14, 2020) 4",4.74
15,"Short % of Float (Jun 14, 2020) 4",6.07%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.02%
17,"Shares Short (prior month May 14, 2020) 4",15.54M
18,Forward Annual Dividend Rate 4,1
19,Forward Annual Dividend Yield 4,2.24%
20,Trailing Annual Dividend Rate 3,1.00
21,Trailing Annual Dividend Yield 3,2.24%
22,5 Year Average Dividend Yield 4,1.89
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"May 31, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-47.18%
31,Operating Margin (ttm),1.79%
32,Return on Assets (ttm),0.32%
33,Return on Equity (ttm),-28.63%
34,Revenue (ttm),6.09B
35,Revenue Per Share (ttm),20.11
36,Quarterly Revenue Growth (yoy),-14.40%
37,Gross Profit (ttm),4.58B
38,EBITDA,2.34B
39,Net Income Avi to Common (ttm),-2.87B
40,Diluted EPS (ttm),-9.49
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.08B
43,Total Cash Per Share (mrq),6.82
44,Total Debt (mrq),8.93B
45,Total Debt/Equity (mrq),109.19
46,Current Ratio (mrq),2.19
47,Book Value Per Share (mrq),23.59
48,Operating Cash Flow (ttm),1.85B
49,Levered Free Cash Flow (ttm),-1.56B
