,Attribute,Value
0,Beta (5Y Monthly),0.72
1,52-Week Change 3,9.50%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,315.84
4,52 Week Low 3,187.72
5,50-Day Moving Average 3,297.16
6,200-Day Moving Average 3,282.13
7,Avg Vol (3 month) 3,4.07M
8,Avg Vol (10 day) 3,2.31M
9,Shares Outstanding 5,948.38M
10,Float,942.3M
11,% Held by Insiders 1,0.71%
12,% Held by Institutions 1,89.92%
13,"Shares Short (Jun 14, 2020) 4",6.13M
14,"Short Ratio (Jun 14, 2020) 4",1.32
15,"Short % of Float (Jun 14, 2020) 4",0.65%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.65%
17,"Shares Short (prior month May 14, 2020) 4",5.89M
18,Forward Annual Dividend Rate 4,5
19,Forward Annual Dividend Yield 4,1.72%
20,Trailing Annual Dividend Rate 3,4.32
21,Trailing Annual Dividend Yield 3,1.48%
22,5 Year Average Dividend Yield 4,1.44
23,Payout Ratio 4,30.23%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 30, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,5.58%
31,Operating Margin (ttm),8.06%
32,Return on Assets (ttm),7.08%
33,Return on Equity (ttm),23.96%
34,Revenue (ttm),246.27B
35,Revenue Per Share (ttm),259.57
36,Quarterly Revenue Growth (yoy),6.80%
37,Gross Profit (ttm),57.6B
38,EBITDA,21.93B
39,Net Income Avi to Common (ttm),13.75B
40,Diluted EPS (ttm),14.29
41,Quarterly Earnings Growth (yoy),-2.50%
42,Total Cash (mrq),24.44B
43,Total Cash Per Share (mrq),25.78
44,Total Debt (mrq),51.61B
45,Total Debt/Equity (mrq),83.77
46,Current Ratio (mrq),0.71
47,Book Value Per Share (mrq),60.17
48,Operating Cash Flow (ttm),18.17B
49,Levered Free Cash Flow (ttm),13.68B
