,Attribute,Value
0,Beta (5Y Monthly),1.81
1,52-Week Change 3,-47.59%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,53.39
4,52 Week Low 3,18.98
5,50-Day Moving Average 3,28.29
6,200-Day Moving Average 3,33.66
7,Avg Vol (3 month) 3,1.54M
8,Avg Vol (10 day) 3,864.97k
9,Shares Outstanding 5,130.13M
10,Float,129.8M
11,% Held by Insiders 1,0.22%
12,% Held by Institutions 1,101.17%
13,"Shares Short (Jun 14, 2020) 4",3.67M
14,"Short Ratio (Jun 14, 2020) 4",1.79
15,"Short % of Float (Jun 14, 2020) 4",4.33%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.82%
17,"Shares Short (prior month May 14, 2020) 4",4.61M
18,Forward Annual Dividend Rate 4,0.8
19,Forward Annual Dividend Yield 4,2.93%
20,Trailing Annual Dividend Rate 3,0.77
21,Trailing Annual Dividend Yield 3,2.82%
22,5 Year Average Dividend Yield 4,1.73
23,Payout Ratio 4,51.84%
24,Dividend Date 3,"Jul 05, 2020"
25,Ex-Dividend Date 4,"Jun 17, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jun 23, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,4.96%
31,Operating Margin (ttm),9.69%
32,Return on Assets (ttm),4.98%
33,Return on Equity (ttm),12.01%
34,Revenue (ttm),3.95B
35,Revenue Per Share (ttm),30.15
36,Quarterly Revenue Growth (yoy),0.50%
37,Gross Profit (ttm),1.31B
38,EBITDA,450.39M
39,Net Income Avi to Common (ttm),195.8M
40,Diluted EPS (ttm),1.49
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),622.3M
43,Total Cash Per Share (mrq),4.78
44,Total Debt (mrq),1.55B
45,Total Debt/Equity (mrq),91.96
46,Current Ratio (mrq),2.19
47,Book Value Per Share (mrq),12.78
48,Operating Cash Flow (ttm),321.52M
49,Levered Free Cash Flow (ttm),310.04M
