,Attribute,Value
0,Beta (5Y Monthly),0.58
1,52-Week Change 3,-28.35%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,89.55
4,52 Week Low 3,49.62
5,50-Day Moving Average 3,60.77
6,200-Day Moving Average 3,69.32
7,Avg Vol (3 month) 3,3.01M
8,Avg Vol (10 day) 3,2.75M
9,Shares Outstanding 5,372.13M
10,Float,366.25M
11,% Held by Insiders 1,1.55%
12,% Held by Institutions 1,94.92%
13,"Shares Short (Jun 14, 2020) 4",4.41M
14,"Short Ratio (Jun 14, 2020) 4",1.22
15,"Short % of Float (Jun 14, 2020) 4",1.59%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.19%
17,"Shares Short (prior month May 14, 2020) 4",6.22M
18,Forward Annual Dividend Rate 4,2.41
19,Forward Annual Dividend Yield 4,4.25%
20,Trailing Annual Dividend Rate 3,2.31
21,Trailing Annual Dividend Yield 3,4.06%
22,5 Year Average Dividend Yield 4,3.08
23,Payout Ratio 4,73.17%
24,Dividend Date 3,"Jul 09, 2020"
25,Ex-Dividend Date 4,"Jun 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 11, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,43.16%
31,Operating Margin (ttm),33.56%
32,Return on Assets (ttm),2.74%
33,Return on Equity (ttm),11.30%
34,Revenue (ttm),2.72B
35,Revenue Per Share (ttm),7.34
36,Quarterly Revenue Growth (yoy),3.00%
37,Gross Profit (ttm),1.79B
38,EBITDA,1.75B
39,Net Income Avi to Common (ttm),1.17B
40,Diluted EPS (ttm),3.14
41,Quarterly Earnings Growth (yoy),195.20%
42,Total Cash (mrq),82.33M
43,Total Cash Per Share (mrq),0.22
44,Total Debt (mrq),8.96B
45,Total Debt/Equity (mrq),80.59
46,Current Ratio (mrq),0.13
47,Book Value Per Share (mrq),28.20
48,Operating Cash Flow (ttm),1.47B
49,Levered Free Cash Flow (ttm),1.24B
