,Attribute,Value
0,Beta (5Y Monthly),0.92
1,52-Week Change 3,10.79%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,331.58
4,52 Week Low 3,155.67
5,50-Day Moving Average 3,307.67
6,200-Day Moving Average 3,283.70
7,Avg Vol (3 month) 3,2.46M
8,Avg Vol (10 day) 3,1.78M
9,Shares Outstanding 5,402.18M
10,Float,389.21M
11,% Held by Insiders 1,2.53%
12,% Held by Institutions 1,84.85%
13,"Shares Short (Jun 14, 2020) 4",4.66M
14,"Short Ratio (Jun 14, 2020) 4",1.73
15,"Short % of Float (Jun 14, 2020) 4",1.63%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.16%
17,"Shares Short (prior month May 14, 2020) 4",5.3M
18,Forward Annual Dividend Rate 4,13
19,Forward Annual Dividend Yield 4,4.04%
20,Trailing Annual Dividend Rate 3,12.40
21,Trailing Annual Dividend Yield 3,3.86%
22,5 Year Average Dividend Yield 4,2.24
23,Payout Ratio 4,211.85%
24,Dividend Date 3,"Jun 29, 2020"
25,Ex-Dividend Date 4,"Jun 18, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Nov 02, 2019"
29,Most Recent Quarter (mrq),"May 02, 2020"
30,Profit Margin,10.97%
31,Operating Margin (ttm),16.63%
32,Return on Assets (ttm),3.12%
33,Return on Equity (ttm),10.88%
34,Revenue (ttm),22.89B
35,Revenue Per Share (ttm),57.44
36,Quarterly Revenue Growth (yoy),4.10%
37,Gross Profit (ttm),15.87B
38,EBITDA,10.11B
39,Net Income Avi to Common (ttm),2.33B
40,Diluted EPS (ttm),5.57
41,Quarterly Earnings Growth (yoy),-18.50%
42,Total Cash (mrq),9.21B
43,Total Cash Per Share (mrq),22.89
44,Total Debt (mrq),46.51B
45,Total Debt/Equity (mrq),194.04
46,Current Ratio (mrq),2.15
47,Book Value Per Share (mrq),59.56
48,Operating Cash Flow (ttm),10.43B
49,Levered Free Cash Flow (ttm),10.56B
