,Attribute,Value
0,Beta (5Y Monthly),1.35
1,52-Week Change 3,6.39%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,127.39
4,52 Week Low 3,79.08
5,50-Day Moving Average 3,120.07
6,200-Day Moving Average 3,110.54
7,Avg Vol (3 month) 3,2.33M
8,Avg Vol (10 day) 3,1.71M
9,Shares Outstanding 5,368.22M
10,Float,367.03M
11,% Held by Insiders 1,0.33%
12,% Held by Institutions 1,91.45%
13,"Shares Short (Jun 14, 2020) 4",4.92M
14,"Short Ratio (Jun 14, 2020) 4",1.83
15,"Short % of Float (Jun 14, 2020) 4",1.34%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.34%
17,"Shares Short (prior month May 14, 2020) 4",4.5M
18,Forward Annual Dividend Rate 4,2.48
19,Forward Annual Dividend Yield 4,2.00%
20,Trailing Annual Dividend Rate 3,2.32
21,Trailing Annual Dividend Yield 3,1.87%
22,5 Year Average Dividend Yield 4,2.22
23,Payout Ratio 4,74.92%
24,Dividend Date 3,"Jun 08, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 15, 2000"
28,Fiscal Year Ends,"Nov 01, 2019"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,20.05%
31,Operating Margin (ttm),26.71%
32,Return on Assets (ttm),4.29%
33,Return on Equity (ttm),9.53%
34,Revenue (ttm),5.54B
35,Revenue Per Share (ttm),15.03
36,Quarterly Revenue Growth (yoy),-13.70%
37,Gross Profit (ttm),4.01B
38,EBITDA,2.3B
39,Net Income Avi to Common (ttm),1.11B
40,Diluted EPS (ttm),2.99
41,Quarterly Earnings Growth (yoy),-27.20%
42,Total Cash (mrq),784.94M
43,Total Cash Per Share (mrq),2.13
44,Total Debt (mrq),6.15B
45,Total Debt/Equity (mrq),53.08
46,Current Ratio (mrq),1.30
47,Book Value Per Share (mrq),31.46
48,Operating Cash Flow (ttm),1.99B
49,Levered Free Cash Flow (ttm),1.55B
