,Attribute,Value
0,Beta (5Y Monthly),1.99
1,52-Week Change 3,-5.74%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,163.64
4,52 Week Low 3,64.00
5,50-Day Moving Average 3,128.78
6,200-Day Moving Average 3,124.02
7,Avg Vol (3 month) 3,832.99k
8,Avg Vol (10 day) 3,690.37k
9,Shares Outstanding 5,62.16M
10,Float,61.5M
11,% Held by Insiders 1,0.45%
12,% Held by Institutions 1,101.03%
13,"Shares Short (Jun 14, 2020) 4",7.69M
14,"Short Ratio (Jun 14, 2020) 4",9.68
15,"Short % of Float (Jun 14, 2020) 4",17.19%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",12.37%
17,"Shares Short (prior month May 14, 2020) 4",8.22M
18,Forward Annual Dividend Rate 4,4.8
19,Forward Annual Dividend Yield 4,3.60%
20,Trailing Annual Dividend Rate 3,4.80
21,Trailing Annual Dividend Yield 3,3.60%
22,5 Year Average Dividend Yield 4,2.85
23,Payout Ratio 4,35.42%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 01, 1987"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,4.33%
31,Operating Margin (ttm),6.37%
32,Return on Assets (ttm),4.07%
33,Return on Equity (ttm),22.63%
34,Revenue (ttm),19.98B
35,Revenue Per Share (ttm),315.20
36,Quarterly Revenue Growth (yoy),-9.10%
37,Gross Profit (ttm),3.53B
38,EBITDA,1.85B
39,Net Income Avi to Common (ttm),865M
40,Diluted EPS (ttm),13.55
41,Quarterly Earnings Growth (yoy),-67.70%
42,Total Cash (mrq),2.84B
43,Total Cash Per Share (mrq),45.64
44,Total Debt (mrq),7.77B
45,Total Debt/Equity (mrq),195.33
46,Current Ratio (mrq),0.95
47,Book Value Per Share (mrq),49.35
48,Operating Cash Flow (ttm),1.31B
49,Levered Free Cash Flow (ttm),1.58B
