,Attribute,Value
0,Beta (5Y Monthly),1.00
1,52-Week Change 3,5.92%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,398.65
4,52 Week Low 3,221.27
5,50-Day Moving Average 3,362.47
6,200-Day Moving Average 3,348.74
7,Avg Vol (3 month) 3,274.91k
8,Avg Vol (10 day) 3,181.17k
9,Shares Outstanding 5,46.43M
10,Float,46.28M
11,% Held by Insiders 1,0.30%
12,% Held by Institutions 1,94.92%
13,"Shares Short (Jun 14, 2020) 4",746.08k
14,"Short Ratio (Jun 14, 2020) 4",2.61
15,"Short % of Float (Jun 14, 2020) 4",2.09%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.61%
17,"Shares Short (prior month May 14, 2020) 4",789k
18,Forward Annual Dividend Rate 4,1.36
19,Forward Annual Dividend Yield 4,0.38%
20,Trailing Annual Dividend Rate 3,1.36
21,Trailing Annual Dividend Yield 3,0.38%
22,5 Year Average Dividend Yield 4,0.63
23,Payout Ratio 4,11.62%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 16, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,21.12%
31,Operating Margin (ttm),19.44%
32,Return on Assets (ttm),4.90%
33,Return on Equity (ttm),19.54%
34,Revenue (ttm),2.61B
35,Revenue Per Share (ttm),56.44
36,Quarterly Revenue Growth (yoy),2.80%
37,Gross Profit (ttm),1.49B
38,EBITDA,724.4M
39,Net Income Avi to Common (ttm),551.21M
40,Diluted EPS (ttm),11.70
41,Quarterly Earnings Growth (yoy),220.70%
42,Total Cash (mrq),433.24M
43,Total Cash Per Share (mrq),9.33
44,Total Debt (mrq),2.49B
45,Total Debt/Equity (mrq),81.06
46,Current Ratio (mrq),3.60
47,Book Value Per Share (mrq),66.20
48,Operating Cash Flow (ttm),364.1M
49,Levered Free Cash Flow (ttm),227.55M
