,Attribute,Value
0,Beta (5Y Monthly),1.61
1,52-Week Change 3,-28.52%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,74.29
4,52 Week Low 3,33.30
5,50-Day Moving Average 3,48.19
6,200-Day Moving Average 3,53.76
7,Avg Vol (3 month) 3,8.03M
8,Avg Vol (10 day) 3,4.76M
9,Shares Outstanding 5,763.73M
10,Float,365.54M
11,% Held by Insiders 1,56.70%
12,% Held by Institutions 1,38.55%
13,"Shares Short (Jun 14, 2020) 4",10.12M
14,"Short Ratio (Jun 14, 2020) 4",1.32
15,"Short % of Float (Jun 14, 2020) 4",44.54%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.32%
17,"Shares Short (prior month May 14, 2020) 4",12.58M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,3.10
21,Trailing Annual Dividend Yield 3,6.94%
22,5 Year Average Dividend Yield 4,5.09
23,Payout Ratio 4,112.78%
24,Dividend Date 3,"Mar 25, 2020"
25,Ex-Dividend Date 4,"Mar 16, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,17.81%
31,Operating Margin (ttm),24.17%
32,Return on Assets (ttm),8.25%
33,Return on Equity (ttm),42.18%
34,Revenue (ttm),11.88B
35,Revenue Per Share (ttm),15.45
36,Quarterly Revenue Growth (yoy),-51.10%
37,Gross Profit (ttm),10.89B
38,EBITDA,4.02B
39,Net Income Avi to Common (ttm),2.12B
40,Diluted EPS (ttm),2.75
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.64B
43,Total Cash Per Share (mrq),3.45
44,Total Debt (mrq),12.32B
45,Total Debt/Equity (mrq),225.80
46,Current Ratio (mrq),1.44
47,Book Value Per Share (mrq),5.88
48,Operating Cash Flow (ttm),1.85B
49,Levered Free Cash Flow (ttm),1.02B
