,Attribute,Value
0,Beta (5Y Monthly),1.36
1,52-Week Change 3,-19.26%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,128.88
4,52 Week Low 3,52.70
5,50-Day Moving Average 3,89.39
6,200-Day Moving Average 3,91.80
7,Avg Vol (3 month) 3,953.73k
8,Avg Vol (10 day) 3,709.2k
9,Shares Outstanding 5,118.23M
10,Float,117.17M
11,% Held by Insiders 1,0.80%
12,% Held by Institutions 1,99.05%
13,"Shares Short (Jun 14, 2020) 4",2.17M
14,"Short Ratio (Jun 14, 2020) 4",2
15,"Short % of Float (Jun 14, 2020) 4",2.09%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.83%
17,"Shares Short (prior month May 14, 2020) 4",2.28M
18,Forward Annual Dividend Rate 4,2.48
19,Forward Annual Dividend Yield 4,2.95%
20,Trailing Annual Dividend Rate 3,2.48
21,Trailing Annual Dividend Yield 3,2.95%
22,5 Year Average Dividend Yield 4,1.95
23,Payout Ratio 4,40.46%
24,Dividend Date 3,"May 06, 2020"
25,Ex-Dividend Date 4,"Apr 23, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.08%
31,Operating Margin (ttm),15.06%
32,Return on Assets (ttm),5.98%
33,Return on Equity (ttm),23.97%
34,Revenue (ttm),6.07B
35,Revenue Per Share (ttm),49.81
36,Quarterly Revenue Growth (yoy),-13.50%
37,Gross Profit (ttm),1.61B
38,EBITDA,1.26B
39,Net Income Avi to Common (ttm),745M
40,Diluted EPS (ttm),5.99
41,Quarterly Earnings Growth (yoy),-35.30%
42,Total Cash (mrq),608M
43,Total Cash Per Share (mrq),5.14
44,Total Debt (mrq),4.4B
45,Total Debt/Equity (mrq),155.15
46,Current Ratio (mrq),1.48
47,Book Value Per Share (mrq),20.71
48,Operating Cash Flow (ttm),1.41B
49,Levered Free Cash Flow (ttm),754.25M
