,Attribute,Value
0,Beta (5Y Monthly),1.74
1,52-Week Change 3,-10.60%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,46.60
4,52 Week Low 3,17.00
5,50-Day Moving Average 3,34.27
6,200-Day Moving Average 3,31.92
7,Avg Vol (3 month) 3,3.35M
8,Avg Vol (10 day) 3,2.13M
9,Shares Outstanding 5,207.31M
10,Float,205.48M
11,% Held by Insiders 1,0.51%
12,% Held by Institutions 1,96.45%
13,"Shares Short (Jun 14, 2020) 4",19.24M
14,"Short Ratio (Jun 14, 2020) 4",5.4
15,"Short % of Float (Jun 14, 2020) 4",10.49%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",9.28%
17,"Shares Short (prior month May 14, 2020) 4",17.9M
18,Forward Annual Dividend Rate 4,0.68
19,Forward Annual Dividend Yield 4,1.98%
20,Trailing Annual Dividend Rate 3,0.68
21,Trailing Annual Dividend Yield 3,1.98%
22,5 Year Average Dividend Yield 4,1.53
23,Payout Ratio 4,19.60%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 16, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.24%
31,Operating Margin (ttm),11.63%
32,Return on Assets (ttm),7.32%
33,Return on Equity (ttm),16.50%
34,Revenue (ttm),9.88B
35,Revenue Per Share (ttm),48.08
36,Quarterly Revenue Growth (yoy),-11.20%
37,Gross Profit (ttm),2.1B
38,EBITDA,1.59B
39,Net Income Avi to Common (ttm),715M
40,Diluted EPS (ttm),3.47
41,Quarterly Earnings Growth (yoy),-19.40%
42,Total Cash (mrq),901M
43,Total Cash Per Share (mrq),4.35
44,Total Debt (mrq),1.95B
45,Total Debt/Equity (mrq),40.09
46,Current Ratio (mrq),1.76
47,Book Value Per Share (mrq),22.79
48,Operating Cash Flow (ttm),1.23B
49,Levered Free Cash Flow (ttm),800M
