,Attribute,Value
0,Beta (5Y Monthly),0.60
1,52-Week Change 3,-21.87%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,51.25
4,52 Week Low 3,29.20
5,50-Day Moving Average 3,38.24
6,200-Day Moving Average 3,41.21
7,Avg Vol (3 month) 3,2.19M
8,Avg Vol (10 day) 3,1.29M
9,Shares Outstanding 5,294.89M
10,Float,291.83M
11,% Held by Insiders 1,0.85%
12,% Held by Institutions 1,100.18%
13,"Shares Short (Jun 14, 2020) 4",8.26M
14,"Short Ratio (Jun 14, 2020) 4",3.55
15,"Short % of Float (Jun 14, 2020) 4",5.13%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.80%
17,"Shares Short (prior month May 14, 2020) 4",8.29M
18,Forward Annual Dividend Rate 4,1.44
19,Forward Annual Dividend Yield 4,4.00%
20,Trailing Annual Dividend Rate 3,1.39
21,Trailing Annual Dividend Yield 3,3.85%
22,5 Year Average Dividend Yield 4,3.16
23,Payout Ratio 4,244.64%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jul 08, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 05, 1993"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,13.65%
31,Operating Margin (ttm),17.71%
32,Return on Assets (ttm),1.52%
33,Return on Equity (ttm),4.30%
34,Revenue (ttm),1.21B
35,Revenue Per Share (ttm),4.19
36,Quarterly Revenue Growth (yoy),20.00%
37,Gross Profit (ttm),803.91M
38,EBITDA,765.15M
39,Net Income Avi to Common (ttm),161.52M
40,Diluted EPS (ttm),0.55
41,Quarterly Earnings Growth (yoy),-78.70%
42,Total Cash (mrq),980k
43,Total Cash Per Share (mrq),0
44,Total Debt (mrq),5.08B
45,Total Debt/Equity (mrq),118.28
46,Current Ratio (mrq),0.29
47,Book Value Per Share (mrq),11.59
48,Operating Cash Flow (ttm),628.83M
49,Levered Free Cash Flow (ttm),507.72M
