,Attribute,Value
0,Beta (5Y Monthly),0.74
1,52-Week Change 3,-35.92%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,85.05
4,52 Week Low 3,46.37
5,50-Day Moving Average 3,55.46
6,200-Day Moving Average 3,62.73
7,Avg Vol (3 month) 3,2.81M
8,Avg Vol (10 day) 3,2.23M
9,Shares Outstanding 5,214.28M
10,Float,212.72M
11,% Held by Insiders 1,0.87%
12,% Held by Institutions 1,107.51%
13,"Shares Short (Jun 14, 2020) 4",17.86M
14,"Short Ratio (Jun 14, 2020) 4",6.22
15,"Short % of Float (Jun 14, 2020) 4",9.54%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",8.34%
17,"Shares Short (prior month May 14, 2020) 4",20.78M
18,Forward Annual Dividend Rate 4,2.6
19,Forward Annual Dividend Yield 4,5.03%
20,Trailing Annual Dividend Rate 3,2.60
21,Trailing Annual Dividend Yield 3,5.03%
22,5 Year Average Dividend Yield 4,3.05
23,Payout Ratio 4,42.76%
24,Dividend Date 3,"Jul 09, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 25, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.96%
31,Operating Margin (ttm),13.88%
32,Return on Assets (ttm),5.28%
33,Return on Equity (ttm),44.90%
34,Revenue (ttm),14.89B
35,Revenue Per Share (ttm),68.26
36,Quarterly Revenue Growth (yoy),-1.80%
37,Gross Profit (ttm),2.71B
38,EBITDA,2.3B
39,Net Income Avi to Common (ttm),1.33B
40,Diluted EPS (ttm),6.09
41,Quarterly Earnings Growth (yoy),-1.90%
42,Total Cash (mrq),2.69B
43,Total Cash Per Share (mrq),12.57
44,Total Debt (mrq),6.33B
45,Total Debt/Equity (mrq),202.40
46,Current Ratio (mrq),0.92
47,Book Value Per Share (mrq),11.42
48,Operating Cash Flow (ttm),1.26B
49,Levered Free Cash Flow (ttm),1.16B
