,Attribute,Value
0,Beta (5Y Monthly),1.47
1,52-Week Change 3,-30.39%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,171.78
4,52 Week Low 3,76.91
5,50-Day Moving Average 3,122.78
6,200-Day Moving Average 3,126.70
7,Avg Vol (3 month) 3,560.05k
8,Avg Vol (10 day) 3,472.13k
9,Shares Outstanding 5,89.18M
10,Float,86.21M
11,% Held by Insiders 1,3.25%
12,% Held by Institutions 1,101.49%
13,"Shares Short (Jun 14, 2020) 4",1.32M
14,"Short Ratio (Jun 14, 2020) 4",2.56
15,"Short % of Float (Jun 14, 2020) 4",1.73%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.48%
17,"Shares Short (prior month May 14, 2020) 4",1.39M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,"Jul 18, 1999"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 31, 1996"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.70%
31,Operating Margin (ttm),10.56%
32,Return on Assets (ttm),4.19%
33,Return on Equity (ttm),32.92%
34,Revenue (ttm),4.29B
35,Revenue Per Share (ttm),47.89
36,Quarterly Revenue Growth (yoy),5.00%
37,Gross Profit (ttm),2.69B
38,EBITDA,646.4M
39,Net Income Avi to Common (ttm),287.59M
40,Diluted EPS (ttm),3.16
41,Quarterly Earnings Growth (yoy),261.10%
42,Total Cash (mrq),227.85M
43,Total Cash Per Share (mrq),2.56
44,Total Debt (mrq),3.2B
45,Total Debt/Equity (mrq),359.57
46,Current Ratio (mrq),0.70
47,Book Value Per Share (mrq),9.97
48,Operating Cash Flow (ttm),585.59M
49,Levered Free Cash Flow (ttm),464.74M
