,Attribute,Value
0,Beta (5Y Monthly),1.51
1,52-Week Change 3,-9.01%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,78.38
4,52 Week Low 3,37.75
5,50-Day Moving Average 3,62.04
6,200-Day Moving Average 3,61.71
7,Avg Vol (3 month) 3,3.65M
8,Avg Vol (10 day) 3,2.47M
9,Shares Outstanding 5,597.48M
10,Float,593.24M
11,% Held by Insiders 1,0.64%
12,% Held by Institutions 1,76.82%
13,"Shares Short (Jun 14, 2020) 4",10.22M
14,"Short Ratio (Jun 14, 2020) 4",2.81
15,"Short % of Float (Jun 14, 2020) 4",1.72%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.71%
17,"Shares Short (prior month May 14, 2020) 4",10.78M
18,Forward Annual Dividend Rate 4,2
19,Forward Annual Dividend Yield 4,3.36%
20,Trailing Annual Dividend Rate 3,1.98
21,Trailing Annual Dividend Yield 3,3.33%
22,5 Year Average Dividend Yield 4,3.21
23,Payout Ratio 4,56.57%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 11, 2006"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.04%
31,Operating Margin (ttm),16.82%
32,Return on Assets (ttm),8.83%
33,Return on Equity (ttm),27.13%
34,Revenue (ttm),17.97B
35,Revenue Per Share (ttm),29.41
36,Quarterly Revenue Growth (yoy),-8.90%
37,Gross Profit (ttm),7.82B
38,EBITDA,3.74B
39,Net Income Avi to Common (ttm),2.16B
40,Diluted EPS (ttm),3.51
41,Quarterly Earnings Growth (yoy),-0.60%
42,Total Cash (mrq),2.58B
43,Total Cash Per Share (mrq),4.32
44,Total Debt (mrq),8.2B
45,Total Debt/Equity (mrq),108.45
46,Current Ratio (mrq),1.01
47,Book Value Per Share (mrq),12.58
48,Operating Cash Flow (ttm),3.16B
49,Levered Free Cash Flow (ttm),2.36B
