,Attribute,Value
0,Beta (5Y Monthly),0.42
1,52-Week Change 3,16.39%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,46.95
4,52 Week Low 3,30.72
5,50-Day Moving Average 3,41.50
6,200-Day Moving Average 3,37.89
7,Avg Vol (3 month) 3,1.62M
8,Avg Vol (10 day) 3,760.66k
9,Shares Outstanding 5,327.77M
10,Float,308.73M
11,% Held by Insiders 1,56.74%
12,% Held by Institutions 1,43.54%
13,"Shares Short (Jun 14, 2020) 4",10.9M
14,"Short Ratio (Jun 14, 2020) 4",5.4
15,"Short % of Float (Jun 14, 2020) 4",7.38%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.32%
17,"Shares Short (prior month May 14, 2020) 4",11.58M
18,Forward Annual Dividend Rate 4,0.32
19,Forward Annual Dividend Yield 4,0.77%
20,Trailing Annual Dividend Rate 3,0.44
21,Trailing Annual Dividend Yield 3,1.04%
22,5 Year Average Dividend Yield 4,1.09
23,Payout Ratio 4,71.31%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Dec 10, 2018"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.76%
31,Operating Margin (ttm),15.38%
32,Return on Assets (ttm),13.10%
33,Return on Equity (ttm),26.64%
34,Revenue (ttm),2.07B
35,Revenue Per Share (ttm),6.33
36,Quarterly Revenue Growth (yoy),13.70%
37,Gross Profit (ttm),1.02B
38,EBITDA,405.11M
39,Net Income Avi to Common (ttm),202.39M
40,Diluted EPS (ttm),0.61
41,Quarterly Earnings Growth (yoy),-2.20%
42,Total Cash (mrq),92.58M
43,Total Cash Per Share (mrq),0.28
44,Total Debt (mrq),530.05M
45,Total Debt/Equity (mrq),66.22
46,Current Ratio (mrq),0.73
47,Book Value Per Share (mrq),2.44
48,Operating Cash Flow (ttm),339.73M
49,Levered Free Cash Flow (ttm),270.66M
