,Attribute,Value
0,Beta (5Y Monthly),1.78
1,52-Week Change 3,-35.40%
2,S&P500 52-Week Change 3,
3,52 Week High 3,159.01
4,52 Week Low 3,48.62
5,50-Day Moving Average 3,94.48
6,200-Day Moving Average 3,108.38
7,Avg Vol (3 month) 3,2.9M
8,Avg Vol (10 day) 3,2.78M
9,Shares Outstanding 5,164.27M
10,Float,163.19M
11,% Held by Insiders 1,0.93%
12,% Held by Institutions 1,93.58%
13,"Shares Short (Jun 14, 2020) 4",4.88M
14,"Short Ratio (Jun 14, 2020) 4",1.77
15,"Short % of Float (Jun 14, 2020) 4",2.99%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.97%
17,"Shares Short (prior month May 14, 2020) 4",6.01M
18,Forward Annual Dividend Rate 4,2.2
19,Forward Annual Dividend Yield 4,2.25%
20,Trailing Annual Dividend Rate 3,1.43
21,Trailing Annual Dividend Yield 3,1.46%
22,5 Year Average Dividend Yield 4,0.26
23,Payout Ratio 4,34.21%
24,Dividend Date 3,"Jul 13, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.36%
31,Operating Margin (ttm),22.42%
32,Return on Assets (ttm),7.07%
33,Return on Equity (ttm),5.69%
34,Revenue (ttm),9.44B
35,Revenue Per Share (ttm),56.79
36,Quarterly Revenue Growth (yoy),-10.40%
37,Gross Profit (ttm),4.03B
38,EBITDA,3.86B
39,Net Income Avi to Common (ttm),693M
40,Diluted EPS (ttm),4.16
41,Quarterly Earnings Growth (yoy),-17.40%
42,Total Cash (mrq),826M
43,Total Cash Per Share (mrq),5.01
44,Total Debt (mrq),2.91B
45,Total Debt/Equity (mrq),23.85
46,Current Ratio (mrq),1.00
47,Book Value Per Share (mrq),74.07
48,Operating Cash Flow (ttm),3.34B
49,Levered Free Cash Flow (ttm),-317.25M
