,Attribute,Value
0,Beta (5Y Monthly),0.80
1,52-Week Change 3,-14.86%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,152.49
4,52 Week Low 3,65.56
5,50-Day Moving Average 3,110.10
6,200-Day Moving Average 3,121.42
7,Avg Vol (3 month) 3,1.51M
8,Avg Vol (10 day) 3,1.35M
9,Shares Outstanding 5,132.43M
10,Float,132.05M
11,% Held by Insiders 1,0.19%
12,% Held by Institutions 1,94.65%
13,"Shares Short (Jun 14, 2020) 4",2.76M
14,"Short Ratio (Jun 14, 2020) 4",1.96
15,"Short % of Float (Jun 14, 2020) 4",2.35%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.08%
17,"Shares Short (prior month May 14, 2020) 4",2.35M
18,Forward Annual Dividend Rate 4,1.36
19,Forward Annual Dividend Yield 4,1.16%
20,Trailing Annual Dividend Rate 3,1.27
21,Trailing Annual Dividend Yield 3,1.09%
22,5 Year Average Dividend Yield 4,0.76
23,Payout Ratio 4,27.37%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Mar 10, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.34%
31,Operating Margin (ttm),17.79%
32,Return on Assets (ttm),5.29%
33,Return on Equity (ttm),11.45%
34,Revenue (ttm),4.98B
35,Revenue Per Share (ttm),37.62
36,Quarterly Revenue Growth (yoy),5.30%
37,Gross Profit (ttm),1.26B
38,EBITDA,1.24B
39,Net Income Avi to Common (ttm),618.57M
40,Diluted EPS (ttm),4.61
41,Quarterly Earnings Growth (yoy),-4.80%
42,Total Cash (mrq),120.04M
43,Total Cash Per Share (mrq),0.91
44,Total Debt (mrq),3.22B
45,Total Debt/Equity (mrq),57.55
46,Current Ratio (mrq),2.68
47,Book Value Per Share (mrq),42.21
48,Operating Cash Flow (ttm),950.43M
49,Levered Free Cash Flow (ttm),372.95M
