,Attribute,Value
0,Beta (5Y Monthly),0.51
1,52-Week Change 3,-0.04%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,84.96
4,52 Week Low 3,62.18
5,50-Day Moving Average 3,77.45
6,200-Day Moving Average 3,76.90
7,Avg Vol (3 month) 3,3.39M
8,Avg Vol (10 day) 3,2.88M
9,Shares Outstanding 5,585.3M
10,Float,583.12M
11,% Held by Insiders 1,0.29%
12,% Held by Institutions 1,82.12%
13,"Shares Short (Jun 14, 2020) 4",5.59M
14,"Short Ratio (Jun 14, 2020) 4",1.75
15,"Short % of Float (Jun 14, 2020) 4",0.96%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.95%
17,"Shares Short (prior month May 14, 2020) 4",5.25M
18,Forward Annual Dividend Rate 4,0.4
19,Forward Annual Dividend Yield 4,0.50%
20,Trailing Annual Dividend Rate 3,2.65
21,Trailing Annual Dividend Yield 3,3.32%
22,5 Year Average Dividend Yield 4,2.23
23,Payout Ratio 4,6.60%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jul 05, 2020"
26,Last Split Factor 2,1:1
27,Last Split Date 3,"Jan 26, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.19%
31,Operating Margin (ttm),11.94%
32,Return on Assets (ttm),5.54%
33,Return on Equity (ttm),26.72%
34,Revenue (ttm),39.02B
35,Revenue Per Share (ttm),66.81
36,Quarterly Revenue Growth (yoy),0.30%
37,Gross Profit (ttm),5.53B
38,EBITDA,4.97B
39,Net Income Avi to Common (ttm),3.56B
40,Diluted EPS (ttm),6.06
41,Quarterly Earnings Growth (yoy),-35.80%
42,Total Cash (mrq),2.89B
43,Total Cash Per Share (mrq),4.94
44,Total Debt (mrq),5.58B
45,Total Debt/Equity (mrq),38.27
46,Current Ratio (mrq),0.41
47,Book Value Per Share (mrq),23.68
48,Operating Cash Flow (ttm),6.02B
49,Levered Free Cash Flow (ttm),5.39B
