,Attribute,Value
0,Beta (5Y Monthly),1.54
1,52-Week Change 3,-28.44%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,15.63
4,52 Week Low 3,6.82
5,50-Day Moving Average 3,9.29
6,200-Day Moving Average 3,11.14
7,Avg Vol (3 month) 3,12.3M
8,Avg Vol (10 day) 3,12.37M
9,Shares Outstanding 5,1.01B
10,Float,1B
11,% Held by Insiders 1,1.01%
12,% Held by Institutions 1,77.75%
13,"Shares Short (Jun 14, 2020) 4",22.24M
14,"Short Ratio (Jun 14, 2020) 4",1.99
15,"Short % of Float (Jun 14, 2020) 4",2.51%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.19%
17,"Shares Short (prior month May 14, 2020) 4",30.53M
18,Forward Annual Dividend Rate 4,0.6
19,Forward Annual Dividend Yield 4,6.07%
20,Trailing Annual Dividend Rate 3,0.59
21,Trailing Annual Dividend Yield 3,5.97%
22,5 Year Average Dividend Yield 4,3.08
23,Payout Ratio 4,60.20%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 15, 2020"
26,Last Split Factor 2,11:10
27,Last Split Date 3,"Jul 11, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,27.35%
31,Operating Margin (ttm),34.58%
32,Return on Assets (ttm),0.99%
33,Return on Equity (ttm),9.49%
34,Revenue (ttm),4.02B
35,Revenue Per Share (ttm),3.90
36,Quarterly Revenue Growth (yoy),-34.00%
37,Gross Profit (ttm),4.39B
38,EBITDA,
39,Net Income Avi to Common (ttm),1.03B
40,Diluted EPS (ttm),0.98
41,Quarterly Earnings Growth (yoy),-86.60%
42,Total Cash (mrq),3.09B
43,Total Cash Per Share (mrq),3.04
44,Total Debt (mrq),12.93B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),10.42
48,Operating Cash Flow (ttm),1.58B
49,Levered Free Cash Flow (ttm),
