,Attribute,Value
0,Beta (5Y Monthly),1.47
1,52-Week Change 3,21.48%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,91.99
4,52 Week Low 3,48.11
5,50-Day Moving Average 3,80.43
6,200-Day Moving Average 3,78.37
7,Avg Vol (3 month) 3,2.87M
8,Avg Vol (10 day) 3,3.15M
9,Shares Outstanding 5,258.31M
10,Float,229.67M
11,% Held by Insiders 1,14.84%
12,% Held by Institutions 1,81.63%
13,"Shares Short (Jun 14, 2020) 4",7.17M
14,"Short Ratio (Jun 14, 2020) 4",2.18
15,"Short % of Float (Jun 14, 2020) 4",3.54%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.78%
17,"Shares Short (prior month May 14, 2020) 4",6.45M
18,Forward Annual Dividend Rate 4,2.2
19,Forward Annual Dividend Yield 4,2.60%
20,Trailing Annual Dividend Rate 3,2.10
21,Trailing Annual Dividend Yield 3,2.48%
22,5 Year Average Dividend Yield 4,2.54
23,Payout Ratio 4,38.10%
24,Dividend Date 3,"Jul 01, 2020"
25,Ex-Dividend Date 4,"Jun 09, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Aug 03, 2005"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,3.33%
31,Operating Margin (ttm),4.53%
32,Return on Assets (ttm),8.08%
33,Return on Equity (ttm),42.43%
34,Revenue (ttm),43.06B
35,Revenue Per Share (ttm),163.98
36,Quarterly Revenue Growth (yoy),-6.30%
37,Gross Profit (ttm),10.05B
38,EBITDA,2.77B
39,Net Income Avi to Common (ttm),1.44B
40,Diluted EPS (ttm),5.41
41,Quarterly Earnings Growth (yoy),-40.00%
42,Total Cash (mrq),4.04B
43,Total Cash Per Share (mrq),15.63
44,Total Debt (mrq),5.3B
45,Total Debt/Equity (mrq),155.51
46,Current Ratio (mrq),1.02
47,Book Value Per Share (mrq),13.27
48,Operating Cash Flow (ttm),3.39B
49,Levered Free Cash Flow (ttm),2.37B
