,Attribute,Value
0,Beta (5Y Monthly),1.82
1,52-Week Change 3,-31.88%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,29.06
4,52 Week Low 3,8.41
5,50-Day Moving Average 3,19.63
6,200-Day Moving Average 3,19.49
7,Avg Vol (3 month) 3,13.02M
8,Avg Vol (10 day) 3,9.99M
9,Shares Outstanding 5,1.21B
10,Float,1.21B
11,% Held by Insiders 1,0.14%
12,% Held by Institutions 1,89.92%
13,"Shares Short (Jun 14, 2020) 4",19.36M
14,"Short Ratio (Jun 14, 2020) 4",1.94
15,"Short % of Float (Jun 14, 2020) 4",1.79%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.60%
17,"Shares Short (prior month May 14, 2020) 4",21.28M
18,Forward Annual Dividend Rate 4,1.6
19,Forward Annual Dividend Yield 4,8.38%
20,Trailing Annual Dividend Rate 3,1.54
21,Trailing Annual Dividend Yield 3,8.06%
22,5 Year Average Dividend Yield 4,6.42
23,Payout Ratio 4,"1,283.33%"
24,Dividend Date 3,"Jun 28, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,10000:8152
27,Last Split Date 3,"Jan 02, 2012"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,1.71%
31,Operating Margin (ttm),30.66%
32,Return on Assets (ttm),3.41%
33,Return on Equity (ttm),-0.35%
34,Revenue (ttm),8.06B
35,Revenue Per Share (ttm),6.65
36,Quarterly Revenue Growth (yoy),-6.90%
37,Gross Profit (ttm),4.7B
38,EBITDA,4.2B
39,Net Income Avi to Common (ttm),150M
40,Diluted EPS (ttm),0.11
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),400M
43,Total Cash Per Share (mrq),0.33
44,Total Debt (mrq),22.48B
45,Total Debt/Equity (mrq),147.30
46,Current Ratio (mrq),0.74
47,Book Value Per Share (mrq),10.16
48,Operating Cash Flow (ttm),3.7B
49,Levered Free Cash Flow (ttm),548.12M
