,Attribute,Value
0,Beta (5Y Monthly),0.88
1,52-Week Change 3,0.73%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,238.19
4,52 Week Low 3,143.93
5,50-Day Moving Average 3,192.37
6,200-Day Moving Average 3,196.94
7,Avg Vol (3 month) 3,1.55M
8,Avg Vol (10 day) 3,1.76M
9,Shares Outstanding 5,231.08M
10,Float,228.58M
11,% Held by Insiders 1,0.95%
12,% Held by Institutions 1,93.77%
13,"Shares Short (Jun 14, 2020) 4",12.3M
14,"Short Ratio (Jun 14, 2020) 4",8.6
15,"Short % of Float (Jun 14, 2020) 4",5.37%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.32%
17,"Shares Short (prior month May 14, 2020) 4",11.08M
18,Forward Annual Dividend Rate 4,1.76
19,Forward Annual Dividend Yield 4,0.91%
20,Trailing Annual Dividend Rate 3,1.76
21,Trailing Annual Dividend Yield 3,0.91%
22,5 Year Average Dividend Yield 4,1.04
23,Payout Ratio 4,25.29%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 29, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"May 17, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,14.84%
31,Operating Margin (ttm),24.63%
32,Return on Assets (ttm),5.75%
33,Return on Equity (ttm),41.62%
34,Revenue (ttm),11.09B
35,Revenue Per Share (ttm),46.92
36,Quarterly Revenue Growth (yoy),2.40%
37,Gross Profit (ttm),5.17B
38,EBITDA,3.28B
39,Net Income Avi to Common (ttm),1.65B
40,Diluted EPS (ttm),6.90
41,Quarterly Earnings Growth (yoy),17.10%
42,Total Cash (mrq),765M
43,Total Cash Per Share (mrq),3.31
44,Total Debt (mrq),9.29B
45,Total Debt/Equity (mrq),285.12
46,Current Ratio (mrq),1.01
47,Book Value Per Share (mrq),13.71
48,Operating Cash Flow (ttm),2.1B
49,Levered Free Cash Flow (ttm),2B
