,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,-14.81%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,150.06
4,52 Week Low 3,89.62
5,50-Day Moving Average 3,120.14
6,200-Day Moving Average 3,126.02
7,Avg Vol (3 month) 3,799.78k
8,Avg Vol (10 day) 3,608.15k
9,Shares Outstanding 5,90.81M
10,Float,90.52M
11,% Held by Insiders 1,0.38%
12,% Held by Institutions 1,94.63%
13,"Shares Short (Jun 14, 2020) 4",3.65M
14,"Short Ratio (Jun 14, 2020) 4",5.34
15,"Short % of Float (Jun 14, 2020) 4",4.52%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.02%
17,"Shares Short (prior month May 14, 2020) 4",3.28M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,"Dec 01, 1998"
26,Last Split Factor 2,10000:8769
27,Last Split Date 3,"Jan 29, 2017"
28,Fiscal Year Ends,"Sep 26, 2019"
29,Most Recent Quarter (mrq),"Apr 02, 2020"
30,Profit Margin,6.96%
31,Operating Margin (ttm),14.61%
32,Return on Assets (ttm),7.86%
33,Return on Equity (ttm),12.85%
34,Revenue (ttm),3.33B
35,Revenue Per Share (ttm),36.61
36,Quarterly Revenue Growth (yoy),1.90%
37,Gross Profit (ttm),1.37B
38,EBITDA,579.5M
39,Net Income Avi to Common (ttm),231.5M
40,Diluted EPS (ttm),2.52
41,Quarterly Earnings Growth (yoy),-51.20%
42,Total Cash (mrq),667.8M
43,Total Cash Per Share (mrq),7.35
44,Total Debt (mrq),657.5M
45,Total Debt/Equity (mrq),35.15
46,Current Ratio (mrq),1.28
47,Book Value Per Share (mrq),20.52
48,Operating Cash Flow (ttm),378.8M
49,Levered Free Cash Flow (ttm),333.56M
