,Attribute,Value
0,Beta (5Y Monthly),1.07
1,52-Week Change 3,-18.40%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,184.06
4,52 Week Low 3,101.08
5,50-Day Moving Average 3,143.18
6,200-Day Moving Average 3,155.08
7,Avg Vol (3 month) 3,3.71M
8,Avg Vol (10 day) 3,3.42M
9,Shares Outstanding 5,701.85M
10,Float,670.87M
11,% Held by Insiders 1,0.16%
12,% Held by Institutions 1,78.18%
13,"Shares Short (Jun 14, 2020) 4",5.56M
14,"Short Ratio (Jun 14, 2020) 4",1.48
15,"Short % of Float (Jun 14, 2020) 4",0.79%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.79%
17,"Shares Short (prior month May 14, 2020) 4",7.44M
18,Forward Annual Dividend Rate 4,3.6
19,Forward Annual Dividend Yield 4,2.60%
20,Trailing Annual Dividend Rate 3,3.44
21,Trailing Annual Dividend Yield 3,2.41%
22,5 Year Average Dividend Yield 4,2.00
23,Payout Ratio 4,39.54%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,1032:1000
27,Last Split Date 3,"Oct 28, 2018"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,17.38%
31,Operating Margin (ttm),20.96%
32,Return on Assets (ttm),8.20%
33,Return on Equity (ttm),34.75%
34,Revenue (ttm),36.29B
35,Revenue Per Share (ttm),50.68
36,Quarterly Revenue Growth (yoy),-4.70%
37,Gross Profit (ttm),12.37B
38,EBITDA,8.68B
39,Net Income Avi to Common (ttm),6.31B
40,Diluted EPS (ttm),8.70
41,Quarterly Earnings Growth (yoy),11.70%
42,Total Cash (mrq),8.79B
43,Total Cash Per Share (mrq),12.53
44,Total Debt (mrq),16.86B
45,Total Debt/Equity (mrq),94.32
46,Current Ratio (mrq),1.30
47,Book Value Per Share (mrq),25.14
48,Operating Cash Flow (ttm),6.7B
49,Levered Free Cash Flow (ttm),5.49B
