,Attribute,Value
0,Beta (5Y Monthly),1.06
1,52-Week Change 3,7.40%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,410.41
4,52 Week Low 3,240.00
5,50-Day Moving Average 3,382.91
6,200-Day Moving Average 3,355.07
7,Avg Vol (3 month) 3,624.51k
8,Avg Vol (10 day) 3,509.26k
9,Shares Outstanding 5,104.4M
10,Float,103.83M
11,% Held by Insiders 1,1.92%
12,% Held by Institutions 1,96.24%
13,"Shares Short (Jun 14, 2020) 4",1.58M
14,"Short Ratio (Jun 14, 2020) 4",2.64
15,"Short % of Float (Jun 14, 2020) 4",1.79%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.51%
17,"Shares Short (prior month May 14, 2020) 4",1.97M
18,Forward Annual Dividend Rate 4,2.05
19,Forward Annual Dividend Yield 4,0.52%
20,Trailing Annual Dividend Rate 3,1.95
21,Trailing Annual Dividend Yield 3,0.50%
22,5 Year Average Dividend Yield 4,0.57
23,Payout Ratio 4,12.52%
24,Dividend Date 3,"Jul 21, 2020"
25,Ex-Dividend Date 4,"Jul 06, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 28, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,30.18%
31,Operating Margin (ttm),27.65%
32,Return on Assets (ttm),5.59%
33,Return on Equity (ttm),18.49%
34,Revenue (ttm),5.43B
35,Revenue Per Share (ttm),52.18
36,Quarterly Revenue Growth (yoy),4.90%
37,Gross Profit (ttm),3.43B
38,EBITDA,1.94B
39,Net Income Avi to Common (ttm),1.64B
40,Diluted EPS (ttm),15.57
41,Quarterly Earnings Growth (yoy),-35.00%
42,Total Cash (mrq),999.8M
43,Total Cash Per Share (mrq),9.58
44,Total Debt (mrq),5.28B
45,Total Debt/Equity (mrq),55.01
46,Current Ratio (mrq),0.96
47,Book Value Per Share (mrq),91.87
48,Operating Cash Flow (ttm),1.54B
49,Levered Free Cash Flow (ttm),1.62B
