,Attribute,Value
0,Beta (5Y Monthly),0.80
1,52-Week Change 3,-6.61%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,385.01
4,52 Week Low 3,263.31
5,50-Day Moving Average 3,325.62
6,200-Day Moving Average 3,339.36
7,Avg Vol (3 month) 3,981.57k
8,Avg Vol (10 day) 3,998.44k
9,Shares Outstanding 5,166.7M
10,Float,165.96M
11,% Held by Insiders 1,0.49%
12,% Held by Institutions 1,84.06%
13,"Shares Short (Jun 14, 2020) 4",1.28M
14,"Short Ratio (Jun 14, 2020) 4",1.27
15,"Short % of Float (Jun 14, 2020) 4",0.96%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.77%
17,"Shares Short (prior month May 14, 2020) 4",1.53M
18,Forward Annual Dividend Rate 4,5.8
19,Forward Annual Dividend Yield 4,1.92%
20,Trailing Annual Dividend Rate 3,5.28
21,Trailing Annual Dividend Yield 3,1.75%
22,5 Year Average Dividend Yield 4,1.51
23,Payout Ratio 4,39.67%
24,Dividend Date 3,"Jun 16, 2020"
25,Ex-Dividend Date 4,"May 28, 2020"
26,Last Split Factor 2,10000:9035
27,Last Split Date 3,"Mar 30, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.57%
31,Operating Margin (ttm),8.95%
32,Return on Assets (ttm),4.63%
33,Return on Equity (ttm),25.31%
34,Revenue (ttm),34.27B
35,Revenue Per Share (ttm),203.12
36,Quarterly Revenue Growth (yoy),5.30%
37,Gross Profit (ttm),7.26B
38,EBITDA,4.08B
39,Net Income Avi to Common (ttm),2.25B
40,Diluted EPS (ttm),13.29
41,Quarterly Earnings Growth (yoy),0.60%
42,Total Cash (mrq),3.28B
43,Total Cash Per Share (mrq),19.66
44,Total Debt (mrq),18.11B
45,Total Debt/Equity (mrq),199.88
46,Current Ratio (mrq),1.29
47,Book Value Per Share (mrq),54.23
48,Operating Cash Flow (ttm),4.22B
49,Levered Free Cash Flow (ttm),1.89B
