,Attribute,Value
0,Beta (5Y Monthly),1.14
1,52-Week Change 3,1.99%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,44.09
4,52 Week Low 3,23.77
5,50-Day Moving Average 3,36.81
6,200-Day Moving Average 3,36.87
7,Avg Vol (3 month) 3,1.52M
8,Avg Vol (10 day) 3,1.37M
9,Shares Outstanding 5,137.65M
10,Float,136.04M
11,% Held by Insiders 1,0.92%
12,% Held by Institutions 1,100.96%
13,"Shares Short (Jun 14, 2020) 4",5.53M
14,"Short Ratio (Jun 14, 2020) 4",3.66
15,"Short % of Float (Jun 14, 2020) 4",4.57%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.02%
17,"Shares Short (prior month May 14, 2020) 4",6.37M
18,Forward Annual Dividend Rate 4,0.2
19,Forward Annual Dividend Yield 4,0.51%
20,Trailing Annual Dividend Rate 3,0.18
21,Trailing Annual Dividend Yield 3,0.46%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,8.29%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Apr 09, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.65%
31,Operating Margin (ttm),4.53%
32,Return on Assets (ttm),4.30%
33,Return on Equity (ttm),8.70%
34,Revenue (ttm),12.07B
35,Revenue Per Share (ttm),82.92
36,Quarterly Revenue Growth (yoy),-1.50%
37,Gross Profit (ttm),1.6B
38,EBITDA,833.89M
39,Net Income Avi to Common (ttm),320.24M
40,Diluted EPS (ttm),2.17
41,Quarterly Earnings Growth (yoy),-67.90%
42,Total Cash (mrq),377.2M
43,Total Cash Per Share (mrq),2.74
44,Total Debt (mrq),1.95B
45,Total Debt/Equity (mrq),51.51
46,Current Ratio (mrq),1.78
47,Book Value Per Share (mrq),27.54
48,Operating Cash Flow (ttm),836.85M
49,Levered Free Cash Flow (ttm),782.51M
