,Attribute,Value
0,Beta (5Y Monthly),1.71
1,52-Week Change 3,-39.30%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,25.99
4,52 Week Low 3,9.12
5,50-Day Moving Average 3,15.84
6,200-Day Moving Average 3,17.62
7,Avg Vol (3 month) 3,6.9M
8,Avg Vol (10 day) 3,8.78M
9,Shares Outstanding 5,655.04M
10,Float,653.39M
11,% Held by Insiders 1,0.20%
12,% Held by Institutions 1,95.34%
13,"Shares Short (Jun 14, 2020) 4",19.5M
14,"Short Ratio (Jun 14, 2020) 4",3.18
15,"Short % of Float (Jun 14, 2020) 4",3.90%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.89%
17,"Shares Short (prior month May 14, 2020) 4",20.14M
18,Forward Annual Dividend Rate 4,0.72
19,Forward Annual Dividend Yield 4,5.03%
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 21, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-42.77%
31,Operating Margin (ttm),6.72%
32,Return on Assets (ttm),2.20%
33,Return on Equity (ttm),-59.91%
34,Revenue (ttm),23.65B
35,Revenue Per Share (ttm),40.12
36,Quarterly Revenue Growth (yoy),-3.40%
37,Gross Profit (ttm),4.43B
38,EBITDA,3.01B
39,Net Income Avi to Common (ttm),-10.11B
40,Diluted EPS (ttm),
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),3.01B
43,Total Cash Per Share (mrq),4.59
44,Total Debt (mrq),6.5B
45,Total Debt/Equity (mrq),36.11
46,Current Ratio (mrq),1.45
47,Book Value Per Share (mrq),
48,Operating Cash Flow (ttm),2.79B
49,Levered Free Cash Flow (ttm),3.32B
