,Attribute,Value
0,Beta (5Y Monthly),0.58
1,52-Week Change 3,14.87%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,64.31
4,52 Week Low 3,46.59
5,50-Day Moving Average 3,61.39
6,200-Day Moving Average 3,56.05
7,Avg Vol (3 month) 3,4.2M
8,Avg Vol (10 day) 3,4.56M
9,Shares Outstanding 5,606.14M
10,Float,604.47M
11,% Held by Insiders 1,0.18%
12,% Held by Institutions 1,74.52%
13,"Shares Short (Jun 14, 2020) 4",17.83M
14,"Short Ratio (Jun 14, 2020) 4",4.39
15,"Short % of Float (Jun 14, 2020) 4",2.96%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.94%
17,"Shares Short (prior month May 14, 2020) 4",13.64M
18,Forward Annual Dividend Rate 4,1.96
19,Forward Annual Dividend Yield 4,3.25%
20,Trailing Annual Dividend Rate 3,1.96
21,Trailing Annual Dividend Yield 3,3.25%
22,5 Year Average Dividend Yield 4,3.53
23,Payout Ratio 4,56.32%
24,Dividend Date 3,"Apr 30, 2020"
25,Ex-Dividend Date 4,"Apr 07, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 08, 2010"
28,Fiscal Year Ends,"May 25, 2019"
29,Most Recent Quarter (mrq),"Feb 22, 2020"
30,Profit Margin,12.68%
31,Operating Margin (ttm),18.08%
32,Return on Assets (ttm),6.26%
33,Return on Equity (ttm),26.73%
34,Revenue (ttm),16.77B
35,Revenue Per Share (ttm),27.65
36,Quarterly Revenue Growth (yoy),-0.40%
37,Gross Profit (ttm),5.82B
38,EBITDA,3.64B
39,Net Income Avi to Common (ttm),2.13B
40,Diluted EPS (ttm),3.48
41,Quarterly Earnings Growth (yoy),1.60%
42,Total Cash (mrq),606.9M
43,Total Cash Per Share (mrq),1
44,Total Debt (mrq),14.04B
45,Total Debt/Equity (mrq),167.15
46,Current Ratio (mrq),0.64
47,Book Value Per Share (mrq),12.50
48,Operating Cash Flow (ttm),2.94B
49,Levered Free Cash Flow (ttm),2.19B
