,Attribute,Value
0,Beta (5Y Monthly),1.01
1,52-Week Change 3,-67.46%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,13.5400
4,52 Week Low 3,3.0200
5,50-Day Moving Average 3,4.4266
6,200-Day Moving Average 3,7.6401
7,Avg Vol (3 month) 3,17.74M
8,Avg Vol (10 day) 3,14.36M
9,Shares Outstanding 5,763.09M
10,Float,284.15M
11,% Held by Insiders 1,63.20%
12,% Held by Institutions 1,40.02%
13,"Shares Short (Jun 14, 2020) 4",21.76M
14,"Short Ratio (Jun 14, 2020) 4",0.69
15,"Short % of Float (Jun 14, 2020) 4",7.32%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.85%
17,"Shares Short (prior month May 14, 2020) 4",28.29M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.50
21,Trailing Annual Dividend Yield 3,11.47%
22,5 Year Average Dividend Yield 4,3.35
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 26, 2020"
25,Ex-Dividend Date 4,"Feb 13, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-38.33%
31,Operating Margin (ttm),5.07%
32,Return on Assets (ttm),1.29%
33,Return on Equity (ttm),-50.34%
34,Revenue (ttm),7.93B
35,Revenue Per Share (ttm),10.49
36,Quarterly Revenue Growth (yoy),-23.20%
37,Gross Profit (ttm),5.35B
38,EBITDA,1.14B
39,Net Income Avi to Common (ttm),-3.04B
40,Diluted EPS (ttm),-4.0260
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.28B
43,Total Cash Per Share (mrq),1.67
44,Total Debt (mrq),9.89B
45,Total Debt/Equity (mrq),243.65
46,Current Ratio (mrq),1.19
47,Book Value Per Share (mrq),4.89
48,Operating Cash Flow (ttm),392.7M
49,Levered Free Cash Flow (ttm),583.84M
