,Attribute,Value
0,Beta (5Y Monthly),1.71
1,52-Week Change 3,-22.02%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,17.54
4,52 Week Low 3,6.94
5,50-Day Moving Average 3,11.30
6,200-Day Moving Average 3,12.91
7,Avg Vol (3 month) 3,12.6M
8,Avg Vol (10 day) 3,14.97M
9,Shares Outstanding 5,959.68M
10,Float,956.11M
11,% Held by Insiders 1,0.42%
12,% Held by Institutions 1,77.07%
13,"Shares Short (Jun 14, 2020) 4",23.87M
14,"Short Ratio (Jun 14, 2020) 4",2.08
15,"Short % of Float (Jun 14, 2020) 4",2.86%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.49%
17,"Shares Short (prior month May 14, 2020) 4",18.83M
18,Forward Annual Dividend Rate 4,0.62
19,Forward Annual Dividend Yield 4,5.32%
20,Trailing Annual Dividend Rate 3,0.61
21,Trailing Annual Dividend Yield 3,5.19%
22,5 Year Average Dividend Yield 4,2.68
23,Payout Ratio 4,47.64%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,12346:10000
27,Last Split Date 3,"Jun 30, 2004"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,25.99%
31,Operating Margin (ttm),33.44%
32,Return on Assets (ttm),1.03%
33,Return on Equity (ttm),8.22%
34,Revenue (ttm),5.19B
35,Revenue Per Share (ttm),5.30
36,Quarterly Revenue Growth (yoy),-23.60%
37,Gross Profit (ttm),5.52B
38,EBITDA,
39,Net Income Avi to Common (ttm),1.26B
40,Diluted EPS (ttm),1.27
41,Quarterly Earnings Growth (yoy),-58.90%
42,Total Cash (mrq),4.02B
43,Total Cash Per Share (mrq),4.19
44,Total Debt (mrq),13.8B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),16.73
48,Operating Cash Flow (ttm),2.79B
49,Levered Free Cash Flow (ttm),
