,Attribute,Value
0,Beta (5Y Monthly),1.46
1,52-Week Change 3,-41.33%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,58.66
4,52 Week Low 3,16.07
5,50-Day Moving Average 3,30.92
6,200-Day Moving Average 3,37.37
7,Avg Vol (3 month) 3,7.96M
8,Avg Vol (10 day) 3,5.53M
9,Shares Outstanding 5,861.29M
10,Float,860.16M
11,% Held by Insiders 1,0.10%
12,% Held by Institutions 1,95.68%
13,"Shares Short (Jun 14, 2020) 4",20.28M
14,"Short Ratio (Jun 14, 2020) 4",2.76
15,"Short % of Float (Jun 14, 2020) 4",2.36%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.35%
17,"Shares Short (prior month May 14, 2020) 4",18.23M
18,Forward Annual Dividend Rate 4,1.28
19,Forward Annual Dividend Yield 4,4.09%
20,Trailing Annual Dividend Rate 3,1.28
21,Trailing Annual Dividend Yield 3,4.09%
22,5 Year Average Dividend Yield 4,2.26
23,Payout Ratio 4,26.02%
24,Dividend Date 3,"Jun 28, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,1:20
27,Last Split Date 3,"Jun 30, 2009"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.58%
31,Operating Margin (ttm),16.90%
32,Return on Assets (ttm),1.07%
33,Return on Equity (ttm),7.81%
34,Revenue (ttm),51.76B
35,Revenue Per Share (ttm),59.06
36,Quarterly Revenue Growth (yoy),15.90%
37,Gross Profit (ttm),15.38B
38,EBITDA,14.33B
39,Net Income Avi to Common (ttm),4.37B
40,Diluted EPS (ttm),4.96
41,Quarterly Earnings Growth (yoy),167.40%
42,Total Cash (mrq),22.19B
43,Total Cash Per Share (mrq),25.76
44,Total Debt (mrq),36.71B
45,Total Debt/Equity (mrq),59.36
46,Current Ratio (mrq),0.71
47,Book Value Per Share (mrq),69.30
48,Operating Cash Flow (ttm),34M
49,Levered Free Cash Flow (ttm),620.75M
