,Attribute,Value
0,Beta (5Y Monthly),1.58
1,52-Week Change 3,-25.69%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,98.91
4,52 Week Low 3,33.71
5,50-Day Moving Average 3,64.19
6,200-Day Moving Average 3,69.67
7,Avg Vol (3 month) 3,2.78M
8,Avg Vol (10 day) 3,2.23M
9,Shares Outstanding 5,333.62M
10,Float,255.45M
11,% Held by Insiders 1,23.42%
12,% Held by Institutions 1,69.60%
13,"Shares Short (Jun 14, 2020) 4",5.87M
14,"Short Ratio (Jun 14, 2020) 4",2.19
15,"Short % of Float (Jun 14, 2020) 4",2.30%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.76%
17,"Shares Short (prior month May 14, 2020) 4",7.45M
18,Forward Annual Dividend Rate 4,4.2
19,Forward Annual Dividend Yield 4,6.56%
20,Trailing Annual Dividend Rate 3,4.20
21,Trailing Annual Dividend Yield 3,6.56%
22,5 Year Average Dividend Yield 4,4.15
23,Payout Ratio 4,53.64%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"Jun 04, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.12%
31,Operating Margin (ttm),10.52%
32,Return on Assets (ttm),7.21%
33,Return on Equity (ttm),30.71%
34,Revenue (ttm),33.44B
35,Revenue Per Share (ttm),97.36
36,Quarterly Revenue Growth (yoy),-14.60%
37,Gross Profit (ttm),5.45B
38,EBITDA,4.79B
39,Net Income Avi to Common (ttm),2.72B
40,Diluted EPS (ttm),7.89
41,Quarterly Earnings Growth (yoy),-82.60%
42,Total Cash (mrq),1.82B
43,Total Cash Per Share (mrq),5.46
44,Total Debt (mrq),15.61B
45,Total Debt/Equity (mrq),209.30
46,Current Ratio (mrq),1.75
47,Book Value Per Share (mrq),21.95
48,Operating Cash Flow (ttm),4.85B
49,Levered Free Cash Flow (ttm),1.92B
