,Attribute,Value
0,Beta (5Y Monthly),0.97
1,52-Week Change 3,-30.21%
2,S&P500 52-Week Change 3,
3,52 Week High 3,100.25
4,52 Week Low 3,45.07
5,50-Day Moving Average 3,59.98
6,200-Day Moving Average 3,71.43
7,Avg Vol (3 month) 3,3.13M
8,Avg Vol (10 day) 3,3.18M
9,Shares Outstanding 5,389.56M
10,Float,359.79M
11,% Held by Insiders 1,7.31%
12,% Held by Institutions 1,81.29%
13,"Shares Short (Jun 14, 2020) 4",7.61M
14,"Short Ratio (Jun 14, 2020) 4",2.08
15,"Short % of Float (Jun 14, 2020) 4",2.18%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.95%
17,"Shares Short (prior month May 14, 2020) 4",7.8M
18,Forward Annual Dividend Rate 4,1.92
19,Forward Annual Dividend Yield 4,3.21%
20,Trailing Annual Dividend Rate 3,1.90
21,Trailing Annual Dividend Yield 3,3.18%
22,5 Year Average Dividend Yield 4,2.37
23,Payout Ratio 4,121.02%
24,Dividend Date 3,"Jun 21, 2020"
25,Ex-Dividend Date 4,"Jun 08, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Mar 27, 2020"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,6.48%
31,Operating Margin (ttm),12.28%
32,Return on Assets (ttm),7.49%
33,Return on Equity (ttm),16.44%
34,Revenue (ttm),10.49B
35,Revenue Per Share (ttm),26.53
36,Quarterly Revenue Growth (yoy),-14.50%
37,Gross Profit (ttm),5.82B
38,EBITDA,1.56B
39,Net Income Avi to Common (ttm),629.15M
40,Diluted EPS (ttm),1.70
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.37B
43,Total Cash Per Share (mrq),3.52
44,Total Debt (mrq),5.21B
45,Total Debt/Equity (mrq),155.22
46,Current Ratio (mrq),1.66
47,Book Value Per Share (mrq),8.64
48,Operating Cash Flow (ttm),874.53M
49,Levered Free Cash Flow (ttm),807.1M
