,Attribute,Value
0,Beta (5Y Monthly),0.93
1,52-Week Change 3,-7.19%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,285.77
4,52 Week Low 3,119.01
5,50-Day Moving Average 3,223.25
6,200-Day Moving Average 3,181.22
7,Avg Vol (3 month) 3,556.03k
8,Avg Vol (10 day) 3,452.75k
9,Shares Outstanding 5,44.96M
10,Float,43.98M
11,% Held by Insiders 1,2.04%
12,% Held by Institutions 1,101.37%
13,"Shares Short (Jun 14, 2020) 4",2.36M
14,"Short Ratio (Jun 14, 2020) 4",4.53
15,"Short % of Float (Jun 14, 2020) 4",6.05%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.25%
17,"Shares Short (prior month May 14, 2020) 4",2.88M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Oct 01, 2000"
28,Fiscal Year Ends,"Mar 30, 2020"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,24.14%
31,Operating Margin (ttm),29.57%
32,Return on Assets (ttm),13.69%
33,Return on Equity (ttm),20.28%
34,Revenue (ttm),840.88M
35,Revenue Per Share (ttm),18.61
36,Quarterly Revenue Growth (yoy),-0.20%
37,Gross Profit (ttm),689.58M
38,EBITDA,269.07M
39,Net Income Avi to Common (ttm),203.01M
40,Diluted EPS (ttm),4.43
41,Quarterly Earnings Growth (yoy),-57.00%
42,Total Cash (mrq),443.12M
43,Total Cash Per Share (mrq),9.86
44,Total Debt (mrq),12.22M
45,Total Debt/Equity (mrq),1.15
46,Current Ratio (mrq),4.82
47,Book Value Per Share (mrq),23.67
48,Operating Cash Flow (ttm),314.92M
49,Levered Free Cash Flow (ttm),186.58M
