,Attribute,Value
0,Beta (5Y Monthly),-0.07
1,52-Week Change 3,20.05%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,51.53
4,52 Week Low 3,39.01
5,50-Day Moving Average 3,47.74
6,200-Day Moving Average 3,46.42
7,Avg Vol (3 month) 3,2.52M
8,Avg Vol (10 day) 3,1.94M
9,Shares Outstanding 5,538.95M
10,Float,280.3M
11,% Held by Insiders 1,47.97%
12,% Held by Institutions 1,46.89%
13,"Shares Short (Jun 14, 2020) 4",26.5M
14,"Short Ratio (Jun 14, 2020) 4",10.5
15,"Short % of Float (Jun 14, 2020) 4",9.43%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.92%
17,"Shares Short (prior month May 14, 2020) 4",26.72M
18,Forward Annual Dividend Rate 4,0.93
19,Forward Annual Dividend Yield 4,1.91%
20,Trailing Annual Dividend Rate 3,0.88
21,Trailing Annual Dividend Yield 3,1.82%
22,5 Year Average Dividend Yield 4,1.76
23,Payout Ratio 4,52.06%
24,Dividend Date 3,"Aug 16, 2020"
25,Ex-Dividend Date 4,"Jul 09, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Feb 09, 2016"
28,Fiscal Year Ends,"Oct 26, 2019"
29,Most Recent Quarter (mrq),"Apr 25, 2020"
30,Profit Margin,9.64%
31,Operating Margin (ttm),11.49%
32,Return on Assets (ttm),8.44%
33,Return on Equity (ttm),15.34%
34,Revenue (ttm),9.6B
35,Revenue Per Share (ttm),17.93
36,Quarterly Revenue Growth (yoy),3.30%
37,Gross Profit (ttm),1.88B
38,EBITDA,1.29B
39,Net Income Avi to Common (ttm),925.56M
40,Diluted EPS (ttm),1.70
41,Quarterly Earnings Growth (yoy),-19.40%
42,Total Cash (mrq),622.91M
43,Total Cash Per Share (mrq),1.16
44,Total Debt (mrq),376.26M
45,Total Debt/Equity (mrq),6.10
46,Current Ratio (mrq),1.70
47,Book Value Per Share (mrq),11.43
48,Operating Cash Flow (ttm),1.11B
49,Levered Free Cash Flow (ttm),521.84M
