,Attribute,Value
0,Beta (5Y Monthly),1.59
1,52-Week Change 3,-11.70%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,63.97
4,52 Week Low 3,32.38
5,50-Day Moving Average 3,50.71
6,200-Day Moving Average 3,52.04
7,Avg Vol (3 month) 3,1.63M
8,Avg Vol (10 day) 3,1.61M
9,Shares Outstanding 5,114.6M
10,Float,109.38M
11,% Held by Insiders 1,2.96%
12,% Held by Institutions 1,99.36%
13,"Shares Short (Jun 14, 2020) 4",9.72M
14,"Short Ratio (Jun 14, 2020) 4",7.33
15,"Short % of Float (Jun 14, 2020) 4",10.00%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",8.48%
17,"Shares Short (prior month May 14, 2020) 4",8.75M
18,Forward Annual Dividend Rate 4,1.36
19,Forward Annual Dividend Yield 4,2.70%
20,Trailing Annual Dividend Rate 3,1.27
21,Trailing Annual Dividend Yield 3,2.52%
22,5 Year Average Dividend Yield 4,1.92
23,Payout Ratio 4,33.78%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"May 21, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 12, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.11%
31,Operating Margin (ttm),9.90%
32,Return on Assets (ttm),16.89%
33,Return on Equity (ttm),39.38%
34,Revenue (ttm),6.11B
35,Revenue Per Share (ttm),53.30
36,Quarterly Revenue Growth (yoy),2.60%
37,Gross Profit (ttm),2.53B
38,EBITDA,671.19M
39,Net Income Avi to Common (ttm),434.55M
40,Diluted EPS (ttm),3.76
41,Quarterly Earnings Growth (yoy),-18.10%
42,Total Cash (mrq),249.91M
43,Total Cash Per Share (mrq),2.21
44,Total Debt (mrq),276.29M
45,Total Debt/Equity (mrq),24.45
46,Current Ratio (mrq),1.76
47,Book Value Per Share (mrq),10.02
48,Operating Cash Flow (ttm),517.48M
49,Levered Free Cash Flow (ttm),358.63M
