,Attribute,Value
0,Beta (5Y Monthly),1.34
1,52-Week Change 3,62.73%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,197.50
4,52 Week Low 3,110.19
5,50-Day Moving Average 3,181.05
6,200-Day Moving Average 3,166.36
7,Avg Vol (3 month) 3,1.47M
8,Avg Vol (10 day) 3,1.49M
9,Shares Outstanding 5,155.05M
10,Float,154.68M
11,% Held by Insiders 1,0.28%
12,% Held by Institutions 1,96.45%
13,"Shares Short (Jun 14, 2020) 4",3.5M
14,"Short Ratio (Jun 14, 2020) 4",2.59
15,"Short % of Float (Jun 14, 2020) 4",2.56%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.26%
17,"Shares Short (prior month May 14, 2020) 4",3.82M
18,Forward Annual Dividend Rate 4,3.4
19,Forward Annual Dividend Yield 4,1.77%
20,Trailing Annual Dividend Rate 3,3.20
21,Trailing Annual Dividend Yield 3,1.66%
22,5 Year Average Dividend Yield 4,2.53
23,Payout Ratio 4,50.00%
24,Dividend Date 3,"Jun 01, 2020"
25,Ex-Dividend Date 4,"May 14, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jan 18, 2000"
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,18.26%
31,Operating Margin (ttm),29.50%
32,Return on Assets (ttm),11.46%
33,Return on Equity (ttm),39.23%
34,Revenue (ttm),5.61B
35,Revenue Per Share (ttm),35.44
36,Quarterly Revenue Growth (yoy),29.80%
37,Gross Profit (ttm),2.7B
38,EBITDA,2.05B
39,Net Income Avi to Common (ttm),1.02B
40,Diluted EPS (ttm),6.42
41,Quarterly Earnings Growth (yoy),-59.30%
42,Total Cash (mrq),1.63B
43,Total Cash Per Share (mrq),10.54
44,Total Debt (mrq),3.54B
45,Total Debt/Equity (mrq),152.24
46,Current Ratio (mrq),2.61
47,Book Value Per Share (mrq),14.88
48,Operating Cash Flow (ttm),1.65B
49,Levered Free Cash Flow (ttm),1.31B
