,Attribute,Value
0,Beta (5Y Monthly),0.82
1,52-Week Change 3,-14.98%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,124.16
4,52 Week Low 3,56.30
5,50-Day Moving Average 3,93.55
6,200-Day Moving Average 3,100.84
7,Avg Vol (3 month) 3,3.37M
8,Avg Vol (10 day) 3,3.98M
9,Shares Outstanding 5,355.92M
10,Float,348.37M
11,% Held by Insiders 1,2.14%
12,% Held by Institutions 1,90.69%
13,"Shares Short (Jun 14, 2020) 4",4.13M
14,"Short Ratio (Jun 14, 2020) 4",1.23
15,"Short % of Float (Jun 14, 2020) 4",1.18%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.16%
17,"Shares Short (prior month May 14, 2020) 4",4.18M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.80
21,Trailing Annual Dividend Yield 3,0.94%
22,5 Year Average Dividend Yield 4,0.90
23,Payout Ratio 4,40.70%
24,Dividend Date 3,"Mar 30, 2020"
25,Ex-Dividend Date 4,"Mar 15, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 11, 2015"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,6.63%
31,Operating Margin (ttm),8.14%
32,Return on Assets (ttm),7.25%
33,Return on Equity (ttm),30.70%
34,Revenue (ttm),14.09B
35,Revenue Per Share (ttm),39.59
36,Quarterly Revenue Growth (yoy),-51.50%
37,Gross Profit (ttm),5.32B
38,EBITDA,1.51B
39,Net Income Avi to Common (ttm),933.94M
40,Diluted EPS (ttm),2.61
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.67B
43,Total Cash Per Share (mrq),7.5
44,Total Debt (mrq),6.29B
45,Total Debt/Equity (mrq),223.37
46,Current Ratio (mrq),1.75
47,Book Value Per Share (mrq),7.92
48,Operating Cash Flow (ttm),604.12M
49,Levered Free Cash Flow (ttm),-65.25M
