,Attribute,Value
0,Beta (5Y Monthly),0.95
1,52-Week Change 3,-1.36%
2,S&P500 52-Week Change 3,
3,52 Week High 3,47.20
4,52 Week Low 3,28.92
5,50-Day Moving Average 3,38.36
6,200-Day Moving Average 3,39.88
7,Avg Vol (3 month) 3,3.08M
8,Avg Vol (10 day) 3,2.79M
9,Shares Outstanding 5,555.5M
10,Float,553.42M
11,% Held by Insiders 1,0.44%
12,% Held by Institutions 1,80.70%
13,"Shares Short (Jun 14, 2020) 4",11.06M
14,"Short Ratio (Jun 14, 2020) 4",3.46
15,"Short % of Float (Jun 14, 2020) 4",2.00%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.99%
17,"Shares Short (prior month May 14, 2020) 4",9.33M
18,Forward Annual Dividend Rate 4,1.44
19,Forward Annual Dividend Yield 4,3.60%
20,Trailing Annual Dividend Rate 3,1.41
21,Trailing Annual Dividend Yield 3,3.53%
22,5 Year Average Dividend Yield 4,2.99
23,Payout Ratio 4,51.84%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 18, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.39%
31,Operating Margin (ttm),2.51%
32,Return on Assets (ttm),2.21%
33,Return on Equity (ttm),8.08%
34,Revenue (ttm),64.32B
35,Revenue Per Share (ttm),114.35
36,Quarterly Revenue Growth (yoy),-2.20%
37,Gross Profit (ttm),4.15B
38,EBITDA,2.61B
39,Net Income Avi to Common (ttm),1.54B
40,Diluted EPS (ttm),2.72
41,Quarterly Earnings Growth (yoy),67.80%
42,Total Cash (mrq),4.73B
43,Total Cash Per Share (mrq),8.52
44,Total Debt (mrq),13.49B
45,Total Debt/Equity (mrq),70.82
46,Current Ratio (mrq),1.51
47,Book Value Per Share (mrq),34.15
48,Operating Cash Flow (ttm),-4.07B
49,Levered Free Cash Flow (ttm),1.2B
